Liked Songs	Artists	ID	ExCol
Revory (Wraith)	Raekwon, Ghostface Killah, Rick Ross	Fly International Luxurious Art	7n2SBE0JN4IqayjQTla7rh
E.V.O.L	MARINA	Electra Heart (Platinum Blonde Edition)	5pFipXvLn0YWACSKpCAB8o
Don't Stop - Live From Spotify London	Meghan Trainor	Spotify Sessions	5s2glLEq0u2AQbcMWKqej6
If You Don't Love Yourself	The Script	Sunsets & Full Moons	0lvHNgiu7Wr817eZOdcboQ
Good Ol' Days - Acoustic	The Script	Acoustic Sessions 3	1Z752wMyFcfNj9aDBwZKyN
Little Bother (feat. Fousheé)	King Princess, Fousheé	Little Bother (feat. Fousheé)	7imJEoNqRJL4n8OQEChzWG
up at night (feat. justin bieber)	Kehlani, Justin Bieber	blue water road	0B3hRuQLvogv6InPAtI31H
more than i should (feat. jessie reyez)	Kehlani, Jessie Reyez	blue water road	20jLHaXVhMFjwHs1JPjL4S
wondering/wandering (feat. thundercat & ambré)	Kehlani, Thundercat, Ambré	blue water road	4dIVFjnAzAYjJEdWiUGFwu
wish i never	Kehlani	blue water road	5v8oHydXFHM1je05EFyIdw
shooter interlude	Kehlani	blue water road	5NZMLV6AWI3O32RMu4dUg7
When I Grow Up	NF	When I Grow Up	0hWzB4dR1zwcokPvccww0k
Wonderland	Taylor Swift	1989 (Deluxe Edition)	6iWMI5oOhWrDbLbjmwTWFq
everything	Kehlani	blue water road	6pyM30WDpG70VTfwoQg4m2
melt	Kehlani	blue water road	5HpMZmGVA7YJiRg8SNVFH4
altar	Kehlani	blue water road	1GaMFbWeBZeSwgyAEr1s4m
any given sunday (feat. blxst)	Kehlani, Blxst	blue water road	2OqS1qDeZpXDL7VsTq4Fci
little story	Kehlani	blue water road	5tDyUiXPUZDIx8nnZvRTMl
Buttons	Sia	Some People Have REAL Problems	4NRQ1oDBx0aIIa2uRKv2hc
One Leap	Joshua Radin	The Rock and the Tide	4iUYxV7o9ia6Bj39E18lEc
Lonely Hearts Club	MARINA	Electra Heart (Platinum Blonde Edition)	4ayGpVXGAIYDWJrebEmAlJ
Buy the Stars	MARINA	Electra Heart (Platinum Blonde Edition)	16XEqGIk7LI931gUmuweLA
He is Born	David Archuleta	Winter in the Air	27QqscO71LKFN8ZVIZt0Eh
Sleepwalkin' - Daydreamin' Version	Better Oblivion Community Center, Phoebe Bridgers, Conor Oberst	Little Trouble b/w Sleepwalkin' (Daydreamin' Version)	2npBNXIag5QdA3aJ8bJ5mQ
Too Much	All Time Low	It's Still Nothing Personal: A Ten Year Tribute	3FkTUlFnmQdILSUTRtwM7e
Chase The Money	E-40, Quavo, Roddy Ricch, A$AP Ferg, ScHoolboy Q	Chase The Money	3808TY2N8RQG8OcRCHoZvD
How Could You Babe	Tobias Jesso Jr.	How Could You Babe	3UQM3V4mjS1DuAqucivt1Q
Fire & Brimstone	Brantley Gilbert, Jamey Johnson, Alison Krauss	Fire & Brimstone	79RFLDL4Ftu9tCdHPwcVdH
Alewife	Clairo	Immunity	3jgrNd3uPU1c2PFBKYsV9d
If I Didn't Have You - Acoustic	BANNERS	It's Gonna Be OK	40dqs4RwpTUVU1KxKw7qXn
Sunburns	Fences	Sunburns	5bRi1ZCY4W8sqksTq5llUQ
Better Life - Acoustic	Joshua Radin	Better Life (Acoustic)	5OYmJmdkPbGKWXBGGhovjw
Affirmations	Artz, Bugy, Royce Da 5'9"	We Survive	2lEzThYcIFAndTPjY3s4Xc
Sick of Losing Soulmates	dodie	Sick of Losing Soulmates	4hjbxjZpJ8H6qRCzDOGI0M
