Queued Songs	Artists	ID	ExCol
Death Is A Girl	Mini Mansions	The Great Pretenders	spotify:track:5QlaM5UCbsGBSjW88C5lqb
Take This City	AVAN LAVA	Make It Real	spotify:track:4XcKOzdoyAuHOaPYqE1zqk
Destruction	Joywave	Destruction	spotify:track:54yox4bOk5RIev88M4zMCm
Claire (feat. Pouya)	Alex Wiley, Pouya	*one singular flame emoji ep* (Spotify Version)	spotify:track:0yBIcTS6WrS06KUcCh4OTA
California	La+ch	+	spotify:track:3HlQygf18BwyLSBgEhuO9I
Imagination	Gorgon City, Katy Menditta	Imagination - EP	spotify:track:0aCjiK1mAg4VxZ4SW6CLYp
Pixel Empire	Madeon	Adventure	spotify:track:6ITvw4wTuB08JOsCwHfjBu
Woman (Oh Mama)	Joy Williams	Woman (Oh Mama)	spotify:track:55N1S1MscZ87I7r3xKYNXD
Sirens	Lola Marsh	Sirens	spotify:track:7wtcwNsW2Wn6lhFokzJQ7N
In the Summer	IAMDYNAMITE	In the Summer	spotify:track:3yyC2DElwp9KzkqeaTsFb8
The Gates	Young Empires	The Gates	spotify:track:0fUIyK8pAuxQdap8KZB9Cw
Wish You Were Mine - Radio Edit	Philip George	Wish You Were Mine	spotify:track:4aSFlFgOefeVIKkW2NyMPl
It's You - Radio Edit	Syn Cole	It's You	spotify:track:1OMbBimNp16VKMIMgyBo1t
Yesterdays	Only Real	One For The Road	spotify:track:1O4BUZZrXGjGCiEUcOWL1z
Louisa	Lord Huron	Strange Trails	spotify:track:73U7iCPjLe9xRKhYRVh2PJ
Put 'Em Up	Priory	Need To Know	spotify:track:2039juQOFMpEuA6P6oOMZ9
Witness	Mew	Witness	spotify:track:5oTzn7Tv3CSbq6QxubSJw4
Make It Easy, Under The Sea	We Are Scientists	Make It Easy, Under The Sea	spotify:track:31Dw9Rq2NyL1J7yGG5mPpV
Spit You Out	Metz	Spit You Out	spotify:track:36xa22QPBsWnZo9CqpQZQg
Lights Go Down (Radio Mix) [feat. Curtains]	The Jane Doze, Curtains	Lights Go Down (Radio Mix) [feat. Curtains]	spotify:track:7iEFN1AkZ4ovr0f6iY1dzf
Girl	Jukebox The Ghost	Jukebox The Ghost	spotify:track:63OB8oKmBUUYiRtrRtFCvX
Stupid Games	WATERS	What's Real	spotify:track:3l7ph4OqW7XhCz0SkbIGBx
Could Be Wrong	Fickle Friends	Could Be Wrong	spotify:track:3kRmA6oADZwvkY1beX9ZtD
Games for Girls (feat. Lindstrøm)	Say Lou Lou, Lindstrøm	Lucid Dreaming (Deluxe Edition)	spotify:track:7KKZSYWDprlD2p21DC7vmn
Teenage Talk	St. Vincent	Teenage Talk	spotify:track:0iKsBFbuFNA9eSGvhuncCJ
Blondie	Sunset Sons	The Fall Line EP	spotify:track:3ZNoKGB9con1IJwFpsrCIq
Darling Arithmetic	Villagers	Darling Arithmetic	spotify:track:6JzGIuiyWBdEMRKZAnw6fX
Real Slow	Miami Horror, Sarah Chernoff	All Possible Futures	spotify:track:39yDIZ5WpcwkFyjpO8SN1d
Dirt	Sugarmen	Dirt	spotify:track:2xhDjrHy6ELRjApcUjKIhW
Trailer Hitch	Kristian Bush	Southern Gravity	spotify:track:02H8JYd2hItFqfppgu5efp
