Queued Songs	Artists	ID	ExCol
Never Let You Go (feat. John Newman)	Kygo, John Newman	Never Let You Go (feat. John Newman)	spotify:track:3hXGamYfZIrMsvMWLA0JXW
Issues (feat. Russ)	PnB Rock, Russ	Issues (feat. Russ)	spotify:track:5j2qzYh9IuMXi5xq6Yk02Q
Shivers	Rachel Platten	Waves	spotify:track:5yjOhc3JKrznGouRHMagoJ
Hearts On Fire	Gavin James	Hearts On Fire	spotify:track:7tSpxKXT5PQEq1HLn7m86y
Yellow Tape (feat. 21 Savage)	Yo Gotti, 21 Savage	I Still Am	spotify:track:0dI3G3tjLkyLOwqQebIFUO
All Falls Down (feat. Juliander)	Alan Walker, Noah Cyrus, Digital Farm Animals, Juliander	All Falls Down (feat. Juliander)	spotify:track:5yFSF6qQA1rcLsQRnBsZgb
Take Her Place (feat. A R I Z O N A)	Don Diablo, A R I Z O N A	Take Her Place (feat. A R I Z O N A)	spotify:track:3AzvNvE3xpgelqmE5MRnbI
Burning	Sam Smith	Burning	spotify:track:7FzhZ7C3NhM1UyqSHV9ytY
Boom Boom	RedOne, Daddy Yankee, French Montana, Dinah Jane	Boom Boom	spotify:track:4NzenFNqsYRvrG7rLdF1Ej
Stay in School	Tyga	Bugatti Raww	spotify:track:2lrPlZdgwgpMHThoYd1fGT
Cold Summer	Jeezy, Tee Grizzley	Cold Summer	spotify:track:1Rd8aHITIeZa3WDgNp7Zdc
Everybody Knows	Chris Brown	Everybody Knows	spotify:track:2VwOz0ls9gwXb3WlMOmF4R
1999 (feat. Lloyd)	Big K.R.I.T., Lloyd	4eva Is A Mighty Long Time	spotify:track:7dveZsk7FG3K9uHCpUOh5A
Oh I (feat. Jeremih, Young Thug & Sevyn)	The Game, Jeremih, Young Thug, Sevyn	Oh I (feat. Jeremih, Young Thug, Sevyn)	spotify:track:4SzZq7O8bVDG4WsbBVYNzk
What You Like (feat. PnB Rock & MadeinTYO)	24hrs, MadeinTYO, PnB Rock	What You Like (feat. PnB Rock & MadeinTYO)	spotify:track:1dlKS9IKWj2SKdiDwHOgGl
Thriller (Forever) (feat. Ski Mask the Slump God)	Ronny J, Ski Mask The Slump God	Thriller (Forever) [feat. Ski Mask The Slump God]	spotify:track:1NP344u1hDp5kdjpf6K7kL
Broken Summer	DJ Snake, Max Frost	Broken Summer	spotify:track:0J47tsoZf95YNsIHnNBo9p
3's Company (feat. Chris Brown & O.T. Genasis)	Snoop Dogg, Chris Brown, O.T. Genasis	Make America Crip Again	spotify:track:05S5yY7H0WuiQsEhrtjQj5
Never Give Up On Me	MisterWives	Never Give Up On Me	spotify:track:1nwoQ2U7IwFIGDTopr5FS7
Bad Mood - Recorded at Spotify Studios NYC	Miley Cyrus	Spotify Singles	spotify:track:5fA3rWJfJH34C0JCBv60CU
Nothing Left For You	Sam Smith	The Thrill Of It All (Special Edition)	spotify:track:5qOWH742APK9OAIhQBflvV
Sensualidad	Bad Bunny, Prince Royce, J Balvin, Mambo Kingz, DJ Luian	Sensualidad	spotify:track:5hcisvFMidkMJlElTO9Qmw
Riding Shotgun (feat. Bonnie McKee)	Kygo, Oliver Nelson, Bonnie McKee	Kids in Love	spotify:track:41W4YKwP7DPxoplPA2U0PW
Dirty Sexy Money (feat. Charli XCX & French Montana)	David Guetta, Afrojack, Charli XCX, French Montana	Dirty Sexy Money (feat. Charli XCX & French Montana)	spotify:track:0tPQPaOKM32WgMSbPCYyRH
Tough Love	Chris Brown	Heartbreak on a Full Moon	spotify:track:1Y96TJIhZCg8gyvOKalieY
No Love	Olivia O'Brien	No Love	spotify:track:4vk5kysA0CtMBmj8SrGua7
Meteor	MAX	Meteor	spotify:track:0KxdMmPmWo7jIV5Mfo82N6
Whatchu Gon Do	Lil Baby, Marlo, PnB Rock	2 The Hard Way	spotify:track:1FoL7XFAvzgYOV7Op7cftb
Bad Reputation - MTV Unplugged	Shawn Mendes	MTV Unplugged	spotify:track:0BfGB5a1YQfgKQRArZVegv
Hangover Due	Blake Shelton	Texoma Shore	spotify:track:0pC3LbmoRyCz4aZGpt4FSy
3 Bless	Ace Hood	3 Bless	spotify:track:4Gvw0LK02JYWTeIQwnovAQ
Leave (feat. Kevin Garrett)	Whole Doubts, Kevin Garrett	Leave (feat. Kevin Garrett)	spotify:track:2N3oHj0P6cN7FS6oNTqgNd
I Won't Let You Go	Switchfoot, Lauren Daigle	I Won't Let You Go	spotify:track:79pfMqEMRo8jzPGX7fyw0K
Santa's Coming For Us	Sia	Santa's Coming For Us	spotify:track:3txjyObHLw10MqpL6PyMJ7
Like Gold	Vance Joy	Like Gold	spotify:track:0IcYIjsfFEOIY1GI4t7dLu
Garage Palace (feat. Little Simz)	Gorillaz, Little Simz	Garage Palace (feat. Little Simz)	spotify:track:5ZYBczat60p8a2Fnenour4
Stockholm	Atlas Genius	Stockholm	spotify:track:3EB5N4DHgM7Ktk8yy1EgYY
A Perfect End	Atlas Genius	A Perfect End	spotify:track:35eAXKpNIwmKAqADGz3wKY
The Stone Mill	Atlas Genius	Inanimate Objects	spotify:track:7uH9zohSqOgf1tfthQN1L6
Balladino	Atlas Genius	Inanimate Objects	spotify:track:3Y5fO1e3ldJMvGP4wb4jB1
Get It Right (feat. MØ)	Diplo, MØ	Major Lazer Presents: Give Me Future (Music From & Inspired by the Film)	spotify:track:4utgozKpeqZA18lFCcg70Q
The Beautiful & Damned	G-Eazy, Zoe Nash	The Beautiful & Damned	spotify:track:6mVjlizvk7mq58DJl7pQ2j
20 Min	Lil Uzi Vert	Luv Is Rage 2 (Deluxe)	spotify:track:0uxSUdBrJy9Un0EYoBowng
Pineapple Skies	Miguel	Pineapple Skies	spotify:track:5AfJXFkWlmLBJhI23TNCIK
All Night	Steve Aoki, Lauren Jauregui	All Night	spotify:track:5mAxA6Q1SIym6dPNiFLUyd
Lovin' (feat. A Boogie wit da Hoodie)	PnB Rock, A Boogie Wit da Hoodie	Catch These Vibes	spotify:track:2bwN9oZIn9XXSd8RlJ4FDM
2 Fine (feat. Ty Dolla $ign)	T-Pain, Ty Dolla $ign	Oblivion	spotify:track:3bWpGAxNsTURqRYBuFsMB2
List Of People (To Try And Forget About)	Tame Impala	Currents B-Sides & Remixes	spotify:track:2IbP1N3WKj8nPwbLf14xlm
shedontknowbutsheknows	Tove Lo	BLUE LIPS (lady wood phase II)	spotify:track:2SIggE0amXqMFjSFeZvamI
Marvelous Day (feat. Lil Uzi Vert & Gunna)	Kap G, Lil Uzi Vert, Gunna	Mood	spotify:track:4kfEy7h6bWBS5OaDpccTap
Freeze	Andy Grammer	Freeze	spotify:track:6KWXhvzPI5n0JThnSbeBLy
Tequilawine	Olivia O'Brien	It's Not That Deep	spotify:track:1IWDffgO970WOpyOXSPohv
All We Can Do	Poo Bear, Juanes	All We Can Do	spotify:track:3YCybd0ccym8IiZycodMf6
Slow (feat. Noah Cyrus)	Matoma, Noah Cyrus	Slow (feat. Noah Cyrus)	spotify:track:1LVw8DBRgyG9P0WfmyZxpK
More	Hunter Hayes	More	spotify:track:0KXcIgf5nLLT1KDRLTmu6r
Tryin' To Untangle My Mind	Chris Stapleton	Tryin' To Untangle My Mind	spotify:track:638uM2Aq0x55ly3Xz3qj2M
Back in the USA	Green Day	Greatest Hits: God's Favorite Band	spotify:track:53oEpGga4UriwcOKc35LpM
Queen	Jessie J	Queen	spotify:track:5dnKDpNjR5YYHxwRVFyWgZ
Devil Callin' Me Back	Tim McGraw, Faith Hill	The Rest of Our Life	spotify:track:2mZeEpsnwhtTrY7cfASfX1
No Dope On Sundays (feat. Pusha T)	CyHi, Pusha T	No Dope On Sundays	spotify:track:52gNIfccDYistzHxb25bIt
Ding-A-Ling	Stefflon Don, Skepta	Ding-A-Ling	spotify:track:6BeujzT4yenTwQ9SF4aWCl
Save That Shit	Lil Peep	Come Over When You're Sober, Pt. 1	spotify:track:0S0vWvyZ6Rc79TXkWxT9QA
Honor (feat. SAYGRACE & Lil Yachty) - Viceroy Remix	DJ Cassidy, SAYGRACE, Lil Yachty, Viceroy	Honor (feat. SAYGRACE & Lil Yachty) [Viceroy Remix]	spotify:track:3Jxohz0eBZxWUEa3olNlIt
Sweet Disaster	DREAMERS	Sweet Disaster	spotify:track:1cCF6PzZddhyJgYjN8w5qu
Hotter Than Hell - Matoma Remix	Dua Lipa, Matoma	Hotter Than Hell (Remixes)	spotify:track:0bRta28Emc8nKTYb8dfB96
Blow Your Mind (Mwah)	Dua Lipa	Blow Your Mind (Mwah)	spotify:track:7kJlTKjNZVT26iwiDUVhRm
Last Dance	Dua Lipa	Last Dance	spotify:track:5VgVIhrH8TblQ5QRw7ILkn
Hotter Than Hell	Dua Lipa	Hotter Than Hell	spotify:track:1z5jOmNswvnzjC5gFLu5Dv
Room for 2	Dua Lipa	Room For 2	spotify:track:4U1TYTYFoFXfhTEGwLlTH1
Better	Lil Yachty, Stefflon Don	Teenage Emotions	spotify:track:6qjtmQzqiDXFBxOn1jXuea
X Men	Lil Yachty, Evander Griiim	X Men	spotify:track:5AWAcZFEwggTEqYez32DF6
From The D To The A (feat. Lil Yachty)	Tee Grizzley, Lil Yachty	From The D To The A (feat. Lil Yachty)	spotify:track:2NyrXRn4tancYPW6JwtTl2
Wat U Mean (feat. Lil Yachty) - Remix	Dae Dae, Lil Yachty	Wat U Mean (feat. Lil Yachty) [Remix]	spotify:track:14i3ERQvsa8cnV2dgXCsod
Feel Good	Felix Jaehn, Mike Williams	Feel Good	spotify:track:43VmQXzhtmm9B3ze4pv3O5
Chemicals	Dean Lewis	Same Kind Of Different	spotify:track:3wyWMd0y9yurGCwagxFBIk
Changing	John Mayer	The Search for Everything	spotify:track:6eIygPhGcBFKKcxlGTJlY0
Almost	DNCE	DNCE	spotify:track:6nh0B4wOjqoawEhBRgZ1eA
Rattlesnakes - Redux	Lonely The Brave	Things Will Matter (Redux)	spotify:track:46lLUxWDHFsv8cXVJlLTtw
Out Of The Woods - Live From Sound Stage Studio	for KING & COUNTRY	Out Of The Woods (Live From Sound Stage Studio)	spotify:track:06cH7aLzCmSCJ7R3vaZ5gu
Trust Issues	Olivia O'Brien	Trust Issues	spotify:track:0AxuvWeoEODrAkPJQ5X0ls
Left Hand, Right Hand	YoungBoy Never Broke Again	AI YoungBoy	spotify:track:7e0o82uBiJZDdh0J6U3121
Feel It Still - Lido Remix	Portugal. The Man, Lido	Feel It Still (Lido Remix)	spotify:track:3pMVlQLrftCAcz138bSQKF
Rich Friends	Portugal. The Man	Woodstock	spotify:track:18admrko96XeSCmgD76wlM
So Young	Portugal. The Man	So Young	spotify:track:0LDXY4v8jSDh38zKREL7Lg
Can't Help Falling In Love - Live From Spotify, NYC / 2015	Andrea Bocelli, David Foster	Andrea Bocelli Spotify Sessions (Live)	spotify:track:3RPUlfBMYL7KCApbHMNE91
Backseat (feat. Carly Rae Jepsen)	Charli XCX, Carly Rae Jepsen	Pop 2	spotify:track:4HjtHraeKy5wA4DA9o92HZ
Love Is Gone	G-Eazy, Drew Love	The Beautiful & Damned	spotify:track:7aW0z1jKq6FgB7ffpbocg6
That's My N**** (with Meek Mill, YG & Snoop Dogg)	Meek Mill, YG, Snoop Dogg	That's My N**** (with Meek Mill, YG & Snoop Dogg) [From Bright: The Album]	spotify:track:3i1B1PnsfnOQPGVIzhf1lr
Bum Bum Tam Tam	MC Fioti, Future, J Balvin, Stefflon Don, Juan Magán	Bum Bum Tam Tam	spotify:track:4zWO4gvuFtw6EJZC5FFGlr
Crown (with Camila Cabello & Grey)	Camila Cabello, Grey	Crown (with Camila Cabello & Grey) [From Bright: The Album]	spotify:track:7qrMWXNwE1aD1o1sBnyIAh
Yoppa (feat. Trippie Redd)	Chris Brown, Trippie Redd	Heartbreak On A Full Moon Deluxe Edition: Cuffing Season - 12 Days Of Christmas	spotify:track:3BuwxIMcFvxFOiGfXyN3I7
Tell Me You Love Me - NOTD Remix	Demi Lovato, NOTD	Tell Me You Love Me (NOTD Remix)	spotify:track:2q7MbE96PFDsgm1wbkxC9D
Miracle Man	AWOLNATION	Miracle Man	spotify:track:1yL7itzILnbqFCtwh85Py3
Stuck with Me	The Neighbourhood	Stuck with Me	spotify:track:40XtHx298abEV7kZLQWvTz
With My Team - Remix	Creek Boyz, Lil Yachty	With My Team (Remix)	spotify:track:1ed3jP3pTzqDBFDBxG0ZPJ
Tern It Up	Flosstradamus, Dillon Francis	Tern It Up	spotify:track:1eVTKOOPGCRjzwslb6AzZx
Boss Life (feat. Offset)	YFN Lucci, Offset	Boss Life (feat. Offset)	spotify:track:1yWas3061dbaZF9Zq6kfKZ
Technicolor	SAINTE	Technicolor	spotify:track:5hvOZBvZlbjUFVVfkwBStr
With or Without Me	SAINTE	With or Without Me	spotify:track:62zZtEla53ld7lFA0OyLbS
Habits	Machine Gun Kelly	bloom (Deluxe)	spotify:track:7IHznpBxFDKwGSFFZitRk2
The Break Up	Machine Gun Kelly	bloom (Deluxe)	spotify:track:6lJbA3HMQlOI2JMdKbBKDi
Golden God	Machine Gun Kelly	bloom	spotify:track:6Q8ttpzZFuHFYXSN3mDNLI
Moonwalkers (feat. DubXX)	Machine Gun Kelly, DubXX	bloom	spotify:track:0Ia2Lt835EdMI0usPh7MzU
Hold Up	gutta mook, Machine Gun Kelly, Soup Koola	Keep It Gutta III	spotify:track:1wal9tr2I0qH2xdeXFnaX1
Dopeman	Machine Gun Kelly	The Land (Music from the Motion Picture)	spotify:track:0xZUpzgJKoXePYM1Uy9tfs
Never Been Told (feat. Machine Gun Kelly)	Ezri, Machine Gun Kelly	The Land (Music from the Motion Picture)	spotify:track:3WfE7XqICz48eGJWKmHGbE
Party in the 6 (feat. Ray Jr & Mgk)	Pooh Gutta, Ray jr., Machine Gun Kelly	East St. Cleveough (Penitentiary Promises)	spotify:track:7nYv2aVPxfnInlS1xkXWWR
Carry Me Home	Jorja Smith, Maverick Sabre	Project 11	spotify:track:0dbLBOUh7EykgXpxqEROg2
Teenage Fantasy	Jorja Smith	Teenage Fantasy	spotify:track:5dR7h8Rxj1ko6f9dmKQc77
Lost - Recorded at Metropolis Studios, London	Jorja Smith	Spotify Singles	spotify:track:4rv4xuViNAAR7VeD14lACp
When Did You Stop Loving Me	Hunter Hayes	Storyline	spotify:track:1nkMZXrBwvFzBxkRrlM0FZ
For You (Fifty Shades Freed) (& Rita Ora)	Liam Payne, Rita Ora	For You (Fifty Shades Freed) [From "Fifty Shades Freed (Original Motion Picture Soundtrack)"]	spotify:track:5hM6sP0Gh1jD57drszNueC
If You Leave Me Now (feat. Boyz II Men)	Charlie Puth, Boyz II Men	If You Leave Me Now (feat. Boyz II Men)	spotify:track:2iLGgm4O5Hia8aSfSzXS3H
Designer	Lil Pump	Designer	spotify:track:4xKdh72z7sb51GRyHii3B6
Hearts Ain't Gonna Lie (with Jonas Blue)	Arlissa, Jonas Blue	Hearts Ain't Gonna Lie (with Jonas Blue)	spotify:track:1bfPwJtmZdqv6MPY5Wr7eH
With You	Fetty Wap, KDL	With You	spotify:track:19YLs0bKAicXKP3rOKE7kq
Hand It Over	MGMT	Hand It Over	spotify:track:1it4H1DWwzacpa6lxedYs0
Don’t Delete The Kisses - Charli XCX x Post Precious Remix	Wolf Alice, Charlie XCX, Post Precious	Don’t Delete The Kisses (Charli XCX x Post Precious Remix)	spotify:track:1iLIoAGvgJtWf9PkZM68R9
What Side Of Love - Acoustic Version	Parachute	What Side Of Love (Acoustic Version)	spotify:track:6SwBFQFjgwdYomUy6kLTrH
Part That's Holding On	Red	of Beauty and Rage	spotify:track:7n9A8tJjUe2qzCQiKB0mqg
Taxi	The Maine	Lovely Little Lonely	spotify:track:6tkDUCTp0PmHH9BRNCYaJJ
Island Radio	Andrew McMahon in the Wilderness	Zombies On Broadway	spotify:track:3EALhZYEmozlfqPszpxyPM
Searchlight	Phillip Phillips	Behind The Light	spotify:track:7MMnHneRGkGdIrVfDL3zwH
My My My!	Troye Sivan	My My My!	spotify:track:2Tq2R8sRftNEqdgJK5HadO
EL BAÑO (feat. Bad Bunny)	Enrique Iglesias, Bad Bunny	EL BAÑO (feat. Bad Bunny)	spotify:track:2vvdTrdryjsl8DmPIMDWZU
Let Me Down	Jorja Smith, Stormzy	Let Me Down	spotify:track:2tpYmda4mM7XFvpbhOfERH
Capital Letters	Hailee Steinfeld, BloodPop®	Capital Letters [From "Fifty Shades Freed (Original Motion Picture Soundtrack)"]	spotify:track:2bllegdYt2WoYdbRZyJ730
Flip	Russ	Flip	spotify:track:3JJH0Vdu6XPD5ibEgNPbTA
After The Storm (feat. Tyler, The Creator & Bootsy Collins)	Kali Uchis, Tyler, The Creator, Bootsy Collins	After The Storm (feat. Tyler, The Creator & Bootsy Collins)	spotify:track:1gmarFWgSwb4SWlmqDjWka
Learn How to Watch (feat. Mac Miller & MadeinTYO)	Carnage, Mac Miller, MadeinTYO	Learn How to Watch (feat. Mac Miller & MadeinTYO)	spotify:track:310Qd5lOzFStXKZB3zWCtE
Compass	The Neighbourhood	To Imagine - EP	spotify:track:7vr42ZYb6lBjSBnc9zfohk
This Girl	Hunter Hayes	This Girl	spotify:track:3o37M5aX3HVbbVBkacJlXj
Tell Me That I'm Wrong	Future Jr.	Tell Me That I'm Wrong	spotify:track:47HhRfdOKF9tWHMxC54mZX
Back to the Bottom	Port Cities	Back to the Bottom	spotify:track:37wECbFT4rifd45tyvmvuN
Always	Above & Beyond, Zoë Johnston	Always	spotify:track:54STK8zwLYlr73paT645k0
Machika	J Balvin, Jeon, Anitta	Machika	spotify:track:6MNGxu8MprKGkchUchkJsy
Miss You (with Major Lazer & Tory Lanez)	Cashmere Cat, Major Lazer, Tory Lanez	Miss You (with Major Lazer & Tory Lanez)	spotify:track:0as7lPxkBPctZ7uVmchRNM
The Good Side	Troye Sivan	The Good Side	spotify:track:7tSVyj8v1s3YyF7fvkKiOC
Ignore Me	Betty Who	Ignore Me	spotify:track:7CSoPdRsImvRXZt9W8mvmE
Alone	Russ	Alone	spotify:track:3p0Y1C5jhaqyKW7d9oskXA
i Shyne	Carnage, Lil Pump	i Shyne	spotify:track:0AcHbiMs86CCgprvc7E1gs
Dura	Daddy Yankee	Dura	spotify:track:2j2fIJGh4PMdXt9ULI5Tlc
Catch a Body (feat. Quavo)	LIVVIA, Quavo	Catch a Body (feat. Quavo)	spotify:track:1D2NjsP1malEdluqvBdMS0
Little Bit	Timeflies	Little Bit	spotify:track:6nAehrYnxE6tnaTjlKRTI2
Light Work	116, Andy Mineo, 1K Phew, Tedashii, WHATUPRG, Lecrae, Trip Lee, CASS	Light Work	spotify:track:2VDH9YBnuim3RPqdp68qiP
Handyman	AWOLNATION	Handyman	spotify:track:2Wrqinw3mnvHwJUGCqco3y
Melanin Magic (Pretty Brown) (feat. Chris Brown)	Remy Ma, Chris Brown	Melanin Magic (Pretty Brown) (feat. Chris Brown)	spotify:track:1OanwtMB8mJvkHMkjJYI2a
No Drama (feat. Offset)	Tinashe, Offset	No Drama (feat. Offset)	spotify:track:5FZyParKWrsTrmSKhhKClw
Street Kings (feat. Meek Mill)	YFN Lucci, Meek Mill	Street Kings (feat. Meek Mill)	spotify:track:6HHnmQYafY35RfPaR93vFA
Either Way	Chris Stapleton	From A Room: Volume 1	spotify:track:6Wo5YxkdXgwzKQZbDg2r17
Scarecrow In The Garden	Chris Stapleton	Scarecrow In The Garden	spotify:track:0rgNhjV1tJOP1ivceIH55a
Surreal Exposure	Ducktails	Surreal Exposure	spotify:track:2EelomMVBuIcTYtX5QfmXT
Thule	Hilang Child	Thule / Endless String	spotify:track:3qwe6VwqvI4wM66euASQn4
Cool (feat. Marc E. Bassy, Gucci Mane)	Felix Jaehn, Marc E. Bassy, Gucci Mane	Cool (feat. Marc E. Bassy, Gucci Mane)	spotify:track:5BpYTQDrNSDdzWHk8LdDV2
The Ways (with Swae Lee)	Khalid, Swae Lee	Black Panther The Album Music From And Inspired By	spotify:track:5jyyPsIGM2yqkZN9R3TmvN
High (& Dua Lipa)	Whethan, Dua Lipa	Fifty Shades Freed (Original Motion Picture Soundtrack)	spotify:track:7lAeknkZz0KCk2RmAZESHF
Nuh Ready Nuh Ready (feat. PARTYNEXTDOOR)	Calvin Harris, PARTYNEXTDOOR	Nuh Ready Nuh Ready (feat. PARTYNEXTDOOR)	spotify:track:2rYyq0b3XWwmWl0k727OVG
Growing Pains	COIN	Growing Pains	spotify:track:6B3VHoemogRyAp6VokPNKF
Trust	Youngblood Hawke	Trust	spotify:track:5U9g7AICXQhir3omvAym2y
14U+14ME - Single Edit	The Presets	14U+14ME	spotify:track:4k9g228Uz3w5MOR0ys9t4x
Ride For Me (with Young Thug, feat. 24hrs)	A-Trak, Falcons, Young Thug, 24hrs	Ride For Me (with Young Thug, feat. 24hrs)	spotify:track:2kluzE38cgxW81aHXTAphn
Me and Michael	MGMT	Little Dark Age	spotify:track:0t4z0WaQomQqPONghWn8c2
Neighborhood	Her	Neighborhood	spotify:track:0QRpg7zbGByNtydvCSIcJv
Collar Full	Panic! At The Disco	Too Weird to Live, Too Rare to Die!	spotify:track:1zN3CZlafjfEiMR9uXQGrW
Eyes Wide - Alt. Version	Meadowlark	Nocturnes	spotify:track:5BugHeTiVdU70nq4UJ475w
The Fire Next Time	VIC MENSA	The Autobiography	spotify:track:0x9gHwkimsncnhKWigwQhX
You Owe Me	The Chainsmokers	Sick Boy...You Owe Me	spotify:track:1USJRpWDFhxwhCajPXBeel
Why You Always Gotta Go	Kodak Black	Heart Break Kodak (HBK)	spotify:track:4AfNO2UVU4N33AJT4lBmY2
Moon River	Frank Ocean	Moon River	spotify:track:41cpvQ2GyGb2BRdIRSsTqK
Faded Love (feat. Future)	Tinashe, Future	Faded Love (feat. Future)	spotify:track:5TR3sdi4QH0qwIsZ6CqJa3
Ahora Dice - Real Hasta La Muerte Remix	Chris Jedi, J Balvin, Ozuna, Cardi B, Offset, Anuel, Arcangel	Ahora Dice (Real Hasta La Muerte Remix)	spotify:track:5JrI3Wxx71pwxmtTC7jXys
Banded Up (feat. XXXTENTACION)	Ronny J, XXXTENTACION	Banded Up (feat. XXXTENTACION)	spotify:track:6vkczNPCftHsMJpjYYiXDp
Bagg Move (feat. Quavo)	Moneybagg Yo, Quavo	2 Heartless	spotify:track:4oQGDgu5GZ7dNCOtx44j2N
Sip A Lil (feat. Gucci Mane)	Tyga, Gucci Mane	Kyoto	spotify:track:6MPR32vGG1AaQMYOfqvyqx
1, 2, 3 (feat. Jason Derulo & De La Ghetto)	Sofía Reyes, Jason Derulo, De La Ghetto	1, 2, 3 (feat. Jason Derulo & De La Ghetto)	spotify:track:4QtiVmuA88tPQiCOHZuQ5b
Bed Of Roses	Afrojack, Stanaj	Bed Of Roses (feat. Stanaj)	spotify:track:0jb8yv9BI9BEOPDBXiwTnc
Everything Remix	G Herbo, Lil Uzi Vert, Chance the Rapper	Humble Beast Deluxe	spotify:track:3UU08bOOAHcT0d1oKUMYFO
Where Would We Be	ROZES, Nicky Romero	Where Would We Be	spotify:track:7bcQZgPNmSV2Yr9Dgw0GDg
Jennie (feat. R. City, Bori)	Felix Jaehn, R. City, Bori	I	spotify:track:1iBOPEE6fIMsl7GMMcEyCF
Void	The Neighbourhood	Void	spotify:track:54cyykIllVFq1D0FKOAHpw
Look Back (feat. DRAM)	Diplo, Shelley FKA DRAM	Look Back (feat. DRAM)	spotify:track:7x63oqzEC496mF84OJJp8J
650 Luc	YFN Lucci	Freda's Son	spotify:track:16m0oBIjQGBusbBedXGtuA
Imma Dog (feat. PnB Rock)	Ugly God, PnB Rock	Imma Dog (feat. PnB Rock)	spotify:track:24OwOkMACgku2eAg9pN584
Call If You Need Me	Vance Joy	Call If You Need Me	spotify:track:2YnvyQKTH8mceMecSo3fou
Make Me Feel	Janelle Monáe	Make Me Feel	spotify:track:79GsUxLyzxgnN4I1E11dtO
Cocky (feat. London On Da Track)	A$AP Rocky, Gucci Mane, 21 Savage, London On Da Track	Cocky (feat. London On Da Track)	spotify:track:1nO2NjuFkGaAWcMdJ1pNrp
We The Funk	Dillon Francis, Fuego	We The Funk	spotify:track:3dXWDwSl1Kooi0gPFizIud
How I Feel	Good Gas, A$AP Ferg, FKi 1st, 2 Chainz	How I Feel	spotify:track:4HiryJmwSwizCo4l2N7PpE
motherlove	Bea Miller	aurora	spotify:track:3nbTS7cQhRcSUMvIQl0cQo
Like I Do	David Guetta, Martin Garrix, Brooks	Like I Do	spotify:track:6RnkFd8Fqqgk1Uni8RgqCQ
P E A C E	Hillsong Young & Free	P E A C E	spotify:track:6cZVPf8zPBeK0yA7bBZZjM
Fiebre (feat. Wisin & Yandel)	Ricky Martin, Wisin, Yandel	Fiebre (feat. Wisin & Yandel)	spotify:track:0oFqlgK2LJ9eMlpGBCmRvf
White Flag	Bishop Briggs	White Flag	spotify:track:3e8LjwW222IlQ86z5zSEn2
Magenta Riddim	DJ Snake	Magenta Riddim	spotify:track:0VdTG2MWrR5K5FYyLqBr0n
Morning View	Towkio, SZA	WWW.	spotify:track:653zN469Kp5c3GcZ5WdkLL
Cruel World - Wolfgang Wee & Markus Neby Remix	Seeb, Skip Marley, Wolfgang Wee, Markus Neby	Cruel World (Wolfgang Wee & Markus Neby Remix)	spotify:track:3YmqzAy9SSxwnM0y0Q5gkh
Good Vibes (feat. gnash)	DENM, Garrett Nash	Is Whatever	spotify:track:2LSbFI61uwXJY806WGgw1t
Heavy Camp	Blac Youngsta, Travis Scott	223	spotify:track:6ehKF28vn6ug4jM9A4mWn1
Lie Detector (feat. Lil Pump)	24hrs, Lil Pump	Lie Detector (feat. Lil Pump)	spotify:track:1gUJxDCuVx3DFlADiZl4ry
Take Your Time	Vance Joy	Nation of Two	spotify:track:0flFPv83zCKHwzuhlEDILy
Mr. Tillman	Father John Misty	Mr. Tillman	spotify:track:5ArtaQ740g1HgDugVOyzf7
Havana	Pentatonix	Havana	spotify:track:5vLmZ6ya1RGLoLeNwA82hY
Are You Down	Timeflies	Are You Down	spotify:track:79btr2ROWznkGbgXyZ6E7n
Django Jane	Janelle Monáe	Django Jane	spotify:track:1tAoLzNNXRabfHHzSqdk3R
The Girl That's Underneath (feat. Jabbar Hakeem)	Jake Miller, Jabbar Hakeem	The Girl That's Underneath (feat. Jabbar Hakeem)	spotify:track:1qSVNR5BJ1EtSK2rw7CRPz
One of These Days	Vance Joy	Nation of Two	spotify:track:4OFx2sTI1L2lJWiJCCTECL
Pigment	H.E.R.	Pigment	spotify:track:4W9FiD4WNH22AUay8emLRF
My Song	H.E.R.	My Song	spotify:track:16V37tEJapC7jTli8qHImc
Every Kind Of Way	H.E.R.	H.E.R. Volume 2	spotify:track:71AaGUlQ7I5dRgDEQpdnI4
2	H.E.R.	2	spotify:track:1kot2lDXaF496sebPI8Bz9
Lights On	H.E.R.	Lights On	spotify:track:2iPyRFdr3eMQzOHfKIEyXS
Right Now (feat. ELHAE, D.R.A.M. & H.E.R.)	Snakehips, ELHAE, Shelley FKA DRAM, H.E.R.	Right Now (feat. ELHAE, D.R.A.M. & H.E.R.)	spotify:track:1GYQH7xr9KlnqRvbVXxaAZ
The Conversation	Mat Kearney, Young Summer	JUST KIDS	spotify:track:4b5zHcRQPBSTcT10PMHKEa
Free To Breathe	Cold War Kids	LA DIVINE	spotify:track:0LGjEqDTpbAdQG8INBag3s
Train Wreck	James Arthur	Back from the Edge	spotify:track:55Am8neGJkdj2ADaM3aw5H
Find Me	Buddy	Find Me	spotify:track:6P2cQF9sdnv17czEnI54BR
World Of Wonders	Buddy	Ocean & Montana	spotify:track:2RRI47A8yNZ94o56IRfRCQ
That Much	Buddy	That Much	spotify:track:6vDBRqnN7NZ7rLLmFlsgvY
Favorite	Leon Thomas, Buddy	Favorite	spotify:track:1tHIZgsoxrmp6lrm2YZsm7
