Maybe Songs	Artists	ID	ExCol
It's Hard To Say "I Do", When I Don't	Fall Out Boy	Infinity On High	spotify:track:1gSt2UlC7mtRtJIc5zqKWn
Disloyal Order Of Water Buffaloes	Fall Out Boy	Folie à Deux	spotify:track:4qg2rXtE20scfPhGvG5tqq
B-Boyz	Birdman, Mack Maine, Kendrick Lamar, Ace Hood, DJ Khaled	Kiss The Ring (Deluxe)	spotify:track:5AWOz7ybCQzX3npdBZqrv8
Fa Sho (feat. Kendrick Lamar, Jay Rock & Freeway)	Balance, Kendrick Lamar, Jay Rock, Freeway	In Case You Slept	spotify:track:1uWkVUZVqH5142GmIZvWWM
The Carpal Tunnel Of Love	Fall Out Boy	Infinity On High	spotify:track:6FAUi2Xm6RCF0wpwG8oXGZ
Last Forgiven	Luke Rathborne	Last Forgiven	spotify:track:5qrcvTNkPrEpJuAslImtE6
Nobody Puts Baby In The Corner	Fall Out Boy	From Under The Cork Tree	spotify:track:6HJzCcSMggn7Ultxs48dAe
Hood Love (feat. Bun B & Joell Ortiz)	Royce Da 5'9", Bun B, Joell Ortiz	Street Hop (Deluxe)	spotify:track:3Lye9VapSitxcKvRzRdyAD
Better Off (feat. Kendrick Lamar)	Quadron, Kendrick Lamar	Avalanche	spotify:track:2IU9XtrbGviQfWAjg4x9kc
I Bloom Blaum	Coldplay	In My Place	spotify:track:6MCvGN1ZTLa3PZkGnLWccm
Street Dreamin	Bridget Kelly, Kendrick Lamar	Street Dreamin	spotify:track:2AArqeG0gRRiStIXLx5ggC
Thriller - Live From Hammersmith Palais	Fall Out Boy	Infinity On High	spotify:track:7vK6evQLbEbgcioaZe65f9
I've Got All This Ringing In My Ears And None On My Fingers	Fall Out Boy	Infinity On High	spotify:track:1CRVvwUopaV42bAEvoh194
Sleeping Sun	Coldplay	Talk	spotify:track:0xkcOfbk2pyukCmMVTTauh
Sophomore Slump Or Comeback Of The Year	Fall Out Boy	From Under The Cork Tree	spotify:track:1iir1dMidSGRzbPMCCEtfX
Lentil	Sia	Some People Have REAL Problems	spotify:track:4yKPsdrnjpspXRhu8WqUn6
The World Turned Upside Down	Coldplay	Fix You	spotify:track:29RjYJw9AahhQJaZgdPy2E
The Girl You Lost To Cocaine	Sia	Some People Have REAL Problems	spotify:track:49ktlIACFCNIbUlcQvdMb7
Paper Games	KANEHOLLER	Vol. 3	spotify:track:1bMYnTQYaG8RX1XSwAfF2l
Lifted Up (1985)	Passion Pit	Lifted Up (1985)	spotify:track:5voU7QFyI9iXw3PZILBbyh
Day Too Soon	Sia	Some People Have REAL Problems	spotify:track:154YKHXTyaSaS07kD0YHsu
Reasons For Seasons	Terrace Martin, Neka Brown, Kendrick Lamar	Locke High 2	spotify:track:1ap0EZeDrx2G6D6SoZVhTS
I Slept With Someone In Fall Out Boy And All I Got Was This Stupid Song Written About Me	Fall Out Boy	From Under The Cork Tree	spotify:track:79oQb66jALYYKX1hn4qs4p
Our Lawyer Made Us Change The Name Of This Song So We Wouldn't Get Sued	Fall Out Boy	From Under The Cork Tree	spotify:track:73A0DxzMGDhVGsvHQSaaBq
Gold In Them Hills	Ron Sexsmith	Cobblestone Runway	spotify:track:490KdXFNi8wMA7Vs7nM1Bo
Paper Boy	Peter Jackson, Royce Da 5'9"	In My Life	spotify:track:2ecHtIPIuU4kjkfBqFOiEe
Promise Land	Royce Da 5'9"	Lost Files	spotify:track:3i4f5k1sXdqzmozEDcqCB3
Soon We'll Be Found	Sia	Some People Have REAL Problems	spotify:track:2ZWxf7Fybxoh6iNp7SWrXT
Diamond	Monakr	Diamond	spotify:track:10scgiCMHdHk9ZQaKSVUjW
Enjoy (West Coastin') ft. Warren G, Murs & Kendrick Lamar	9th Wonder	The Wonder Years	spotify:track:7B1uCXXvHll5iglHyp4CkP
Heaven Help Dem (feat. Kendrick Lamar)	Jonathan Emile, Kendrick Lamar	The Lover / Fighter Document LP	spotify:track:5dnh5AR01W0n8r3gLJAPPP
XO	Fall Out Boy	From Under The Cork Tree	spotify:track:4u2JQ1rzBirJVn6Ka2aQ5l
Jay Rock feat. Kendrick Lamar & Major James	Jay Rock, Kendrick Lamar, Major James	From Hood Tales to the Cover of XXL	spotify:track:26eqFi54f9O7LJytvbRkje
I Go To Sleep	Sia	Some People Have REAL Problems	spotify:track:6sghbMPfZ2mGFBTFehoGyA
