Maybe Songs	Artists	ID	ExCol
Up	Luke Bryan	Born Here Live Here Die Here (Deluxe Edition)	spotify:track:1GOMHxclGDvkcODCfYuuje
Endless Summer Remix feat. Joey Bada$$ + Raury - Remix	Jaden, Raury, Joey Bada$$	CTV3: Day Tripper's Edition	spotify:track:0f4Bjuo8xNC6g9h9IQgsys
Shea Butter Baby (with J. Cole)	Ari Lennox, J. Cole	Shea Butter Baby	spotify:track:5BOBHIBuzvQuIYL1E1nDzl
Hot Box (feat. Method Man & Joey Bada$$)	JID, Method Man, Joey Bada$$	DiCaprio 2	spotify:track:5bARj22nURPaa84RvmOMP0
Keep It Moving	Statik Selektah, Nas, Joey Bada$$, Gary Clark Jr.	The Balancing Act	spotify:track:4PArn7ax4r6o4f1qdOEE8x
Watch Me	Statik Selektah, Joey Bada$$	The Balancing Act	spotify:track:54vC0ZCwrvMSgYMOY9NhgF
All for Love	Sigala, Kodaline	Brighter Days	spotify:track:1pHJJUlODadGr514ja3237
With You (Live at Docklands Arena, London) - LPU Rarities	Linkin Park	Hybrid Theory (20th Anniversary Edition)	spotify:track:1cIpI1uIJvuv6eixilOmsb
Ayy (feat. YG & Logic)	Berner, Mozzy, YG, Logic	Slimey Individualz	spotify:track:1ljvc5fYmgG1qxGKZYzfwG
Children Of The Internet - Remix feat. Joey Bada$$	Future Utopia, Joey Bada$$, Dave, Es Devlin	Children Of The Internet (Remixes)	spotify:track:44KSiIcCon2uw4pDWjZJww
pictures feat. Kacey Musgraves	Judah & the Lion, Kacey Musgraves	Pep Talks	spotify:track:1zZIVe9x0JhdhpuQjLTjIM
This Time	Melanie Fiona, J. Cole	The MF Life (Deluxe Version)	spotify:track:2O78TOnDMrcZsV3AvoOp1X
Last One Standing (feat. Polo G, Mozzy & Eminem) - From Venom: Let There Be Carnage	Skylar Grey, Polo G, Mozzy, Eminem	Last One Standing (feat. Polo G, Mozzy & Eminem) [From Venom: Let There Be Carnage]	spotify:track:5W8HXMOMLtXLz0RGKUtnlZ
Moody's Mood For Love - Live	Alessia Cara	Holiday Stuff	spotify:track:40d6ECelGVh0PzLpHWeWuQ
Eyes To The Sky	Jon Bellion	The Separation	spotify:track:0WGIBojlsV9GT4A5xwjkE4
B.Q.E	Kota the Friend, Joey Bada$$, Bas	EVERYTHING	spotify:track:4KvlilbyIkDukYgD70F1Ve
Floatin' This Creek	Luke Bryan	Born Here Live Here Die Here (Deluxe Edition)	spotify:track:3JzIZaHcsSXTbGzEE5VBqA
Black Savage	Royce Da 5'9", Sy Ari Da Kid, White Gold, CyHi, T.I.	The Allegory	spotify:track:4gwckC9gIgXrySCVgrim7u
Everybody Dies	Logic	YSIV	spotify:track:2Egoo3acImq7hV6TfYV90E
Trust Nobody (2 My Brothers)	DJ Scheme, Joey Bada$$	FAMILY	spotify:track:4IIVVhD8wMtn1SzlJFH0mb
Still Want You	Brandon Flowers	The Desired Effect	spotify:track:6nAETtcZpFll0FqSzozOVk
Paralyzed	David Archuleta	Therapy Sessions - The Lost Sessions	spotify:track:6PCmZZZaj2CChL9MvEW9fA
Lord Above	Fat Joe, Dre, Eminem, Mary J. Blige	Family Ties	spotify:track:7q0VdsXafFQIYfk3eZpwTq
Head Held High	Kodaline	Politics of Living	spotify:track:3UeqLusnW9BgfXht92y6sd
Gospel (with Eminem)	Dr. Dre, Eminem	Gospel (with Eminem)	spotify:track:3a2jFwnts4Cf0OwJbK61SL
Go Off	Kid Vishis, Royce Da 5'9"	Go Off	spotify:track:1Ltb71eNq77MWSFav3SJhO
What's On Your Mind? - Live Off The Floor	Alessia Cara	This Summer: Live Off The Floor	spotify:track:4REkFwoagazUV2dW5IFqYb
One Day At A Time - Em's Version	2Pac, Eminem, Outlawz	Resurrection (Music From And Inspired By The Motion Picture)	spotify:track:3uOemSyTLHb211nHXGXZ6t
One More Time	Jon Bellion	The Separation	spotify:track:4wPbR6XonWB7fiyWUMAaH2
To My Future Wife...	Jon Bellion	The Separation	spotify:track:7KucgC6JOASHQ0qDtKeomv
When The Lions Come	Jon Bellion, Castro, Logic, Blaque Keyz	The Separation	spotify:track:06P0q7wYr1S1fqrkewX03G
Cold Blood (feat. J. Cole & Canei Finch)	Yo Gotti, J. Cole, Canei Finch	I Am	spotify:track:4cb0chqcLcXdMrm1hMLoeK
Life's Coming in Slow - from GRAN TURISMO 7	Nothing But Thieves	Life's Coming in Slow (from GRAN TURISMO 7)	spotify:track:24SyVpif5eshcNmLKdvOcj
One for the Money	Royce Da 5'9", Skillz, Diamond D	One for the Money	spotify:track:22VsYw58UwYEK2WIuqSjb6
Remember You (feat. blackbear)	G-Eazy, blackbear	These Things Happen	spotify:track:4WmS1ZuledEAlrpJv1E22s
Nobody Move	Statik Selektah, Raekwon, Royce Da 5'9"	8	spotify:track:5NKsWvLg5F7aAIp6LxZWbp
everybody dies	J. Cole	everybody dies	spotify:track:1wIQtB3UQ1TfjNMZZqO6eh
Goin' Outta Control (feat. Royce da 5'9")	Kaboose, rocdomz, Royce Da 5'9"	Excuse Me	spotify:track:18Mz0os4JrM9bZuWOSn6vw
Drag Queen	Hennessy, Logic	Drag Queen	spotify:track:2c7yVOkK2GwENsMjkvPECy
gucci linen (feat. 2 Chainz)	blackbear, 2 Chainz	cybersex	spotify:track:6Sz7iJhiDlJTBTTKIO4oVf
Be Free	J. Cole	Be Free	spotify:track:2EaLdet3BlhjWesZUHU7Cr
False Prophets	J. Cole	False Prophets	spotify:track:0eneujAc4PxkdjP25Gsue1
Who Are You (feat. Royce da 5'9 & Melanie Rutherford)	Benny The Butcher, Royce Da 5'9", Melanie Rutherford	Tana Talk 3	spotify:track:1SnLIMEqBs6QohQu7VQ0tS
Play It - Remix	Big Shug, Royce Da 5'9", DJ Premier, Singapore Kane, Termanology	Play It (Remix)	spotify:track:2XqBESgyITYXmrb6Q4ODgR
Losing Out (feat. Royce Da 5'9)	Black Milk, Royce Da 5'9"	Tronic	spotify:track:0HDEYkLpqxDUZJC6yVDBSn
obvious (feat. Mike Posner)	blackbear, Mike Posner	drink bleach	spotify:track:778B5C6VjSiJ0hbpCimmS5
HEARTBROKEN	blackbear	ANONYMOUS	spotify:track:73EsHhc08cXEArCla8FEqr
TOO CLOSE	blackbear	ANONYMOUS	spotify:track:4xQtVDfQDzZTFLFDCQYfxV
Hold You	Nina Nesbitt, Kodaline	Peroxide (Deluxe)	spotify:track:6Qjh3wHd3utObcZsKsx5pm
Tell Ya Daddy	Pettros, blackbear	Tell Ya Daddy	spotify:track:7lF0YPaWXi2aZiRpcdrUVf
Hard On Yourself	Charlie Puth, blackbear	Hard On Yourself	spotify:track:3xvYvJAa0iUVKKsYcuDNlK
Passion Fashion feat. Jon Bellion	Judah & the Lion, Jon Bellion	Pep Talks	spotify:track:1PA7jUfdfmzBbKOuTDzmgY
The Answer - Live At The Button Factory	Kodaline	Live at The Button Factory - EP	spotify:track:2qE9L1cmkmNzfHZspCtfFH
my bad luv	blackbear	cashmere noose (Deluxe)	spotify:track:2r3IAEgJ2dUsHB6ONdoLDP
i needed you	blackbear	deadroses	spotify:track:0Ma4illoFg3z4bYdSRxkJP
Just My Luck	Marc E. Bassy, blackbear	PMD	spotify:track:2QsBAfiNmngcrZsOTznqBG
cheers (with Wiz Khalifa)	blackbear, Wiz Khalifa	cheers (with Wiz Khalifa)	spotify:track:294CLJ9yQQZ7fg9QB7ve16
You Must Love Me - From "Evita"	Lana Del Rey	You Must Love Me (From "Evita")	spotify:track:7DekM9fvrVFCVoyI7NtT6e
waste away (feat. Devon Baldwin)	blackbear, Devon Baldwin	deadroses	spotify:track:6pV8yBEHeu7A7lkttIjM2g
Paper Planes	Jon Bellion	Translations Through Speakers	spotify:track:3AzQU9PUcGe9wLERQpDXQA
One (feat. Frank Sinatra)	Logic, Frank Sinatra	YS Collection Vol. 1	spotify:track:52SUwNCzqElrCJQHxBsq5a
So Sick (feat. blackbear)	Kiiara, blackbear	lil kiiwi	spotify:track:2LAqcZuU9nbOZrC7Nzdvtu
WTSGD (with Alessia Cara)	CLAY, Alessia Cara	WTSGD (with Alessia Cara)	spotify:track:2JerYQPEZWTiTEIFgfUEoV
Surprise Party (feat. Blackbear)	Hoodie Allen, blackbear	Happy Camper	spotify:track:5UiT4e4DHwZrcVIXojU5um
lil bit	blackbear	lil bit	spotify:track:7L5k4zZvFVnJObxrTNcnaF
Girl Named Summertime (feat. Jon Bellion)	Brandyn Burnette, Jon Bellion	Two Thousand Twelve	spotify:track:0uFHV6o3AWXLiMcHAieWrx
Sky (feat. Ingrid Michaelson)	Joshua Radin, Ingrid Michaelson	Unclear Sky	spotify:track:1Tu1JfjyPz5SKYJpATTRES
We Out Here (feat. Blackbear & Thurz)	Far East Movement, blackbear, Thurz	We Out Here (feat. Blackbear & Thurz)	spotify:track:66VFWCddx37qKsHicLtepo
dropout (w/ blackbear)	brakence, blackbear	dropout (w/ blackbear)	spotify:track:1hV0Ue00iyNCZvb1n0VyGf
So Sick (feat. blackbear) [Martin Jensen Remix]	Kiiara, Martin Jensen, blackbear	So Sick (feat. blackbear) [Martin Jensen Remix]	spotify:track:4j1fFJvUcQxMrLEMBHV9NQ
My Beloved	mansionz	Mansionz	spotify:track:4awF9g7FMdeTxeD4OaSUIa
Tinted Eyes (feat. blackbear & 24kGoldn)	DVBBS, 24kGoldn, blackbear	Tinted Eyes (feat. blackbear & 24kGoldn)	spotify:track:68UW3plyDDNg1dkNIZRezJ
Numbers	Logic	YS Collection Vol. 1	spotify:track:4j9O2n3czrw000jY8ouJZ8
Dangerous (feat. blackbear)	DeathbyRomy, blackbear	Dangerous (feat. blackbear)	spotify:track:7bw4hAqx7oUwvIFKOn0Acq
Champagne and Pools (feat. Blackbear & Kyle)	Hoodie Allen, blackbear, Kyle	Happy Camper	spotify:track:7HytU9V8vMCUayply0lYBq
If It Kills Me (feat. Blackbear) (DM Galaxy Remix)	Jack Novak, DM Galaxy, blackbear	If It Kills Me (feat. Blackbear) (DM Galaxy Remix)	spotify:track:73gGZaAsiYnV0W8jPazlCj
Hit Me Back (feat. Blackbear)	Jacob Sartorius, blackbear	Hit Me Back (feat. Blackbear)	spotify:track:1waVxVa3guFBqIr8xRBSzd
Right Now	sober rob, blackbear	RESET	spotify:track:6CWjfIrbUfRhZixweBc2YN
Dreamin (with blackbear)	The Score, blackbear	Pressure	spotify:track:2EtDBM1HREttw143IwZvJ0
Flex Your Way Out (feat. Blackbear)	Sofi de la Torre, blackbear	Flex Your Way Out (feat. Blackbear)	spotify:track:5iIzoLU2K73Bh9o1vHDQkd
Next to Me - Acoustic	Joshua Radin	The Ghost and the Wall (Acoustic)	spotify:track:5bSxRjgi1YMopg5HMUL2gU
Man Of The Year	Logic	YS Collection Vol. 1	spotify:track:5U6HACLkmJFWvC75pnxPdw
Sleep 4Ever (with blackbear)	JORIE, blackbear	Sleep 4Ever (with blackbear)	spotify:track:6FeeeMmlluJnjspdMNIkQH
Forgetting All About You feat. Blackbear	Phoebe Ryan, blackbear	Forgetting All About You feat. Blackbear	spotify:track:3T6Mtmmx5OfrIUFfpJ1uB1
Just Another Day	Logic	YS Collection Vol. 1	spotify:track:45x4tULmYHSJelP4vRH0Lk
Tokyo Nights (feat. Like)	Logic, Like	YS Collection Vol. 1	spotify:track:69AFoFpPNM7digmbH2Clyf
nobody knows	mansionz, Soren Bryce	Mansionz	spotify:track:79Ho3Dq9Go7gS30tMJROzT
A Million Miles	mansionz	Mansionz	spotify:track:0kNW57VORilcWrslY4d9mc
White Linen	mansionz, CyHi	Mansionz	spotify:track:6buKmjgqX7MruMP8nruBbJ
Druggy's Wit H*es	ScHoolboy Q, Ab-Soul	Setbacks	spotify:track:6zGSh0Hx9OumX4FDgGjRB0
Black Grammys (feat. Meek Mill, Rockie Fresh & J. Cole)	Wale, J. Cole, Meek Mill, Rockie Fresh	MMG Presents: Self Made, Vol. 3	spotify:track:24YCerV2ylANHz7uiCzX5M
Gorgeous	mansionz	Mansionz	spotify:track:75Q69chmd8CEZbVsA4CDMm
Jealousy (feat. blackbear)	Mike Posner, blackbear	Jealousy (feat. blackbear)	spotify:track:3MxvnLsw2nx9W12svVvmyr
Marauder Music	Mike Posner, blackbear	The Layover	spotify:track:6TB2xGMpzswQYtSU37EFva
You Are	MOD SUN, mansionz	Movie	spotify:track:1GScA4H1whpXdia9Q9VIDi
Spent All My Money...	MOD SUN, blackbear	Movie	spotify:track:236Cu9xxH4oIredgv0RBfU
miracles	Stalking Gia, blackbear	miracles	spotify:track:1d8ric7942oDFudCTkWuyN
Chosen One (feat. Sonyae Elise)	Anderson .Paak, Sonyae	Ventura	spotify:track:0xmysmjwaEZfDeNlPUa8Iq
Recognize (feat. Drake)	PARTYNEXTDOOR, Drake	PARTYNEXTDOOR TWO	spotify:track:5wUUWVRvrciJqFitZF8R0P
The Kill	Ben Rector	Songs That Duke Wrote	spotify:track:0Jb0fBX3P8ysAvHmfqrFjX
Someone Else's Star	FINNEAS	Optimist	spotify:track:0lIuxHZkiRZBeKH0Q4q5Vy
She Couldn't	Linkin Park	Hybrid Theory (20th Anniversary Edition)	spotify:track:0B8oGftAYDT9pgJvtsHNg7
Unbelievable	Dave East, Method Man	HDIGH	spotify:track:0la0j39Xsph1SHDUJCXJkp
Deeper Than Love	Dave East, Musiq Soulchild	HDIGH	spotify:track:5buD0YyetlbddhIqUyH04X
John Lennon	Dave East, Anthony Hamilton	HDIGH	spotify:track:6SLxj2ywUN3sCvqF48dXio
No Cocaine	Dave East, Kalan.FrFr	HDIGH	spotify:track:1g98hm9PP0uVu1ORfAbRGG
Crash Out	Dave East, Trae Tha Truth	HDIGH	spotify:track:5xwRs16MgpzVPN3G9AfOiZ
Don't Let Me Down	Dave East, Benny The Butcher, Steven Young	HDIGH	spotify:track:6aPdUDJ3hFaRBRrL7q15kY
Gregory Hines	Dave East, ONLYIFWEVIBE	HDIGH	spotify:track:4pxLzPMloaZ2KZFLFo9EB0
Hold On - Remix	Dwele, Kanye West, Consequence	Hold On (Remix)	spotify:track:6Qvpa87llLt3iEvZ3QiPd1
UOENO	Black Hippy	Uoeno	spotify:track:4wuqlQXpPpEVRhCCyvoe1u
Scary Moves	Bad Meets Evil	Game Tight	spotify:track:2xqAI0XVjrn3VpK0bWa0wD
Hurts Like This	ILLENIUM, BANNERS	Fallen Embers (Deluxe Version)	spotify:track:0jitsmziKMI9MpzENnB0Tc
Don't Let Me Go	Kelvin Jones	Don't Let Me Go	spotify:track:07YLiVWDL3GFLsSi1GgSAe
Downtown (with Kelvin Jones)	R3HAB, Kelvin Jones	Downtown (with Kelvin Jones)	spotify:track:3d7SAAfRMZzuYNqfJhR3bI
Queen	G Flip, mxmtoon	Queen (Remixes)	spotify:track:7kjRwdlWvBggGUuDK0e6Mp
Queen - Touch Sensitive Remix	G Flip, Touch Sensitive, mxmtoon	Queen (Remixes)	spotify:track:2mRlpDDrKZU7tEKX5dX8mD
Tiebreaker	The Head And The Heart	Tiebreaker	spotify:track:2jQrCn5lMF1tnICJ0sv1qZ
Bishops Knife Trick	Fall Out Boy	MANIA	spotify:track:2AzGhnXbYYlAl6sI61UySN
Church	Fall Out Boy	M A N I A	spotify:track:5X5wqj4OQocNJeb6mbViLT
Church (feat. nothing, nowhere.) - nothing,nowhere. remix	Fall Out Boy, nothing,nowhere., jay vee	Church (feat. nothing, nowhere.) [nothing,nowhere. remix]	spotify:track:5b1rwdBe86juHQ0RpUTJAA
Wilson (Expensive Mistakes)	Fall Out Boy	MANIA	spotify:track:2W6kVW3UZ3hwr4qbfCDp6B
Honorable Mention	Fall Out Boy	Evening Out With Your Girlfriend	spotify:track:5fWwfsMUyLeApOAdIieGiX
Switchblades and Infidelity	Fall Out Boy	Evening Out With Your Girlfriend	spotify:track:1gVJSRoWcnlDFQ472PSUaS
Pretty In Punk	Fall Out Boy	Evening Out With Your Girlfriend	spotify:track:1ZcR4oKoZn7HHzpNsT40Nc
The World’s Not Waiting (For Five Tired Boys In A Broken Down Van)	Fall Out Boy	Evening Out With Your Girlfriend	spotify:track:2NihKZ4b0f6p23pzG2HHgr
Short, Fast, And Loud	Fall Out Boy	Evening Out With Your Girlfriend	spotify:track:6iB11qUpXXTA8soT5ZEBLJ
Moving Pictures	Fall Out Boy	Evening Out With Your Girlfriend	spotify:track:3kh2oNtwHkxOJ4u7wWYVO6
Parker Lewis Can't Lose (But I'm Gonna Give It My Best Shot)	Fall Out Boy	Evening Out With Your Girlfriend	spotify:track:2Mzu87sqP3JKX9RzcKZv5x
Lake Effect Kid	Fall Out Boy	Lake Effect Kid	spotify:track:0UvVZwaKrd4JRXS03D59p0
Sunshine Riptide	Fall Out Boy, Burna Boy	MANIA	spotify:track:0ZqqrBHeSeyZahfcyw9N8O
City In A Garden	Fall Out Boy	Lake Effect Kid	spotify:track:3rBO0a30kWk85iYAV8K5as
Dear Future Self (Hands Up)	Fall Out Boy, Wyclef Jean	Believers Never Die (Volume Two)	spotify:track:1tm4Bl2E5RwTevOiBs4gtH
Our Lawyer Made Us Change The Name Of This Song So We Wouldn't Get Sued	Fall Out Boy	Live In Phoenix	spotify:track:2Yy62OMoHAb5cfpmCO3Zxg
The Music Or The Misery - Live From The Tweeter Center	Fall Out Boy	The Music Or The Misery (Live From The Tweeter Center)	spotify:track:1ys0oJQcmkbjPTQOAez5L8
It's Not a Side Effect of the Cocaine, I Am Thinking It Must Be Love	Fall Out Boy	My Heart Will Always Be the B-Side to My Tongue	spotify:track:4BK2hCEYwRPEyaydTMnGxQ
My Heart Is the Worst Kind of Weapon	Fall Out Boy	My Heart Will Always Be the B-Side to My Tongue	spotify:track:4MRZrheMhzghVTPXl199bN
Nobody Puts Baby in the Corner	Fall Out Boy	My Heart Will Always Be the B-Side to My Tongue	spotify:track:2B1Gf0DIwqPErHjeLGhoYP
Caffeine Cold	Fall Out Boy	PAX AM Days	spotify:track:13NRQMlHrN1HqO7O1Pz25C
Love Will Tear Us Apart	Fall Out Boy	My Heart Will Always Be the B-Side to My Tongue	spotify:track:07goh57AE19v987J8tUHIt
Tell That Mick He Just Made My List Of Things To Do Today	Fall Out Boy	Live In Phoenix	spotify:track:0x5iCDgFVaVgCnHgDU0LSP
Start Today	Fall Out Boy	Tony Hawk's American Wasteland Soundtrack	spotify:track:2haKIbH4O8dbHbhUKyxGOi
Saturday	Fall Out Boy	Live In Phoenix	spotify:track:7kPcWZdejXq6xnfRxesvWn
A Little Less Sixteen Candles, A Little More "Touch Me"	Fall Out Boy	Live In Phoenix	spotify:track:6G88rdUvEwydWU0xnILXBh
LAW OF AVERAGES	Vince Staples	Vince Staples	spotify:track:4hWAIH8ZIjcA2cEhGjr7jc
THE SHINING	Vince Staples	Vince Staples	spotify:track:4JvTUper6kKrGUuOPsdhI2
TAKING TRIPS	Vince Staples	Vince Staples	spotify:track:1VnUHwES1tSaWlNHcHCIUt
Made	Vince Staples, Bad Rabbits	CONS EP VOL. 2	spotify:track:0CJAjjdSBpvadGTtxQjBMx
Lindo (BossplayaMix) (feat. Joey Fatts & Vince Staples)	Daraja Hakizimana, Joey Fatts, Vince Staples	Smokers Delight	spotify:track:5VCSAotCHOydaNy9j990oZ
So What? - Episode 01	Vince Staples	So What? (Episode 01)	spotify:track:2JRo1DJhNhZWs1TzrPNOSZ
Surf & Turf	Boldy James, The Alchemist, Vince Staples	The Price Of Tea In China	spotify:track:0LHTmpuM46uzWYZxLFuOXU
TAKE ME HOME	Vince Staples, Fousheé	Vince Staples	spotify:track:3RXGbZhy0Hyur2mSVDlu51
Back & Forth (feat. Vince Staples)	Emotional Oranges, Vince Staples	The Juicebox	spotify:track:3v1r50RypMOGgUiBh0sRMp
Bang Bang	Rucci, Vince Staples	I'm Still Me	spotify:track:26gx3rQbHotceobP0QMq1U
Up Up Away (with JID & EARTHGANG feat. Vince Staples)	Dreamville, JID, EARTHGANG, Vince Staples	Revenge Of The Dreamers III: Director's Cut	spotify:track:6k6QKZTfsSkLcARPA3VY4D
SAUCE	REASON, Vince Staples	SAUCE	spotify:track:0Td7fSJnnP609ZBiK0s6rc
Yo Love - From "Queen & Slim: The Soundtrack"	Vince Staples, 6LACK, Mereba	Yo Love (From "Queen & Slim: The Soundtrack")	spotify:track:3Vj8RQkFwOmDvUrwu6MtQZ
Pressure In My Palms (feat. slowthai, Vince Staples)	Aminé, slowthai, Vince Staples	Limbo	spotify:track:2nWB8ZpA1lxulicEUzTQ6W
Checc (feat. Vince Staples)	Joey Fatts, Vince Staples	Chipper Jones Vol. 4	spotify:track:4FkQMLK22iHlgNiKPgdIty
MHM	Vince Staples	Vince Staples	spotify:track:2SBt41LTnZcKlcnknUgcvF
MAGIC	Vince Staples, Mustard	MAGIC	spotify:track:5FvXe5bz4nQQ4eBaitt4EC
Mars & Venus (feat. Vince Staples, ISHMAEL & Elle Yaya) - Edit	Paul Epworth, ISHMAEL, Vince Staples, ELLE YAYA	Mars & Venus (feat. Vince Staples, ISHMAEL & Elle Yaya)	spotify:track:4tkJ6omh1VItbmGCYelRXa
Mars & Venus (feat. Vince Staples, ISHMAEL & Elle Yaya)	Paul Epworth, ISHMAEL, Vince Staples, ELLE YAYA	Mars & Venus (feat. Vince Staples, ISHMAEL & Elle Yaya)	spotify:track:2AmDhvQLWr2jdHvm8i5G6H
Get Up (feat. Vince Staples)	Terrell Hines, Vince Staples	Get Up (feat. Vince Staples)	spotify:track:6PbU0URiPBpH4UD9CfCgF7
Ice Cold	Ludwig Goransson, Vince Staples	Creed II (Score & Music from the Original Motion Picture)	spotify:track:3zvaqAx3kylRmr6UexKeu7
Real Affair (Remix) (feat. Vince Staples)	Tiana Major9, Vince Staples	Real Affair (Remix) (feat. Vince Staples)	spotify:track:1EFqkfRCPOPlZOxYV0ZMLW
Secret (feat. Vince Staples)	Raveena, Vince Staples	Secret (feat. Vince Staples)	spotify:track:2ozAOPkM0rYqQweAhuXMry
I Ain't Happy	Cashius Green, Vince Staples	I Ain't Happy	spotify:track:2v3UOQHRISS5MtPssMtHPL
Home	Vince Staples, Richie Kohan	Spider-Man: Into the Spider-Verse (Deluxe Edition / Soundtrack From & Inspired By The Motion Picture)	spotify:track:1TNYksIQsadsgxmpeNwfGk
Show Me	Pell, VÉRITÉ	Gravity	spotify:track:1UUC8EeIuep8FogbC3rnzO
Sober	VÉRITÉ	Sober	spotify:track:4F1iikWAaDmhdurtxwwSFT
think of me	VÉRITÉ	new skin	spotify:track:3XT8NTliQsIxX6O4jxOF4z
he's not you	VÉRITÉ	he's not you	spotify:track:4RPFlvdHuKh4eCWQJVywC0
Need Nothing - Orchestral Performance	VÉRITÉ, Little Kruta	Bunker Studios Sessions, Brooklyn, NY	spotify:track:7fbydAkhZovfRtKXqlDvPg
Casanova	Allie X, VÉRITÉ	Casanova	spotify:track:18L5VERD6h5q6PVjQAVVa2
Teenage Kicks	Kodaline	One Day At A Time (Deluxe Edition)	spotify:track:2fWku7UsCU5fNH7eZTK1M0
The Mood	Smoke DZA, Joey Bada$$	The Mood	spotify:track:7rtOWu3ZEDb7cmV0O2JbgQ
Tribulation (feat. VÉRITÉ)	Matt Maeson, VÉRITÉ	Tribulation (feat. VÉRITÉ)	spotify:track:12NQGq3KkmrnSw1wtBhm4c
Lil Arrogant (feat. Joey Bada$$ & Russ)	IDK, Joey Bada$$, Russ	Lil Arrogant (feat. Joey Bada$$ & Russ)	spotify:track:2DP3SfAM8g1hKPXKWyDptv
THE BEACH	Vince Staples	RAMONA PARK BROKE MY HEART	spotify:track:0lqAn1YfFVQ3SdoF7tRZO2
AYE! (FREE THE HOMIES)	Vince Staples	RAMONA PARK BROKE MY HEART	spotify:track:7CvtBcThQ4piVKkfUXieig
NAMELESS	Vince Staples	RAMONA PARK BROKE MY HEART	spotify:track:77JeMQGOagAhWcMd99RYCO
WHEN SPARKS FLY	Vince Staples	RAMONA PARK BROKE MY HEART	spotify:track:1jhdCONafFj1hzJsPvZx27
Lost in My Mind - Alternate Version	The Head And The Heart	iTunes Session	spotify:track:0Oejkl2v3VuJmdHZ9AX65p
When I Fall Asleep	The Head And The Heart	iTunes Session	spotify:track:4zC1DMnZeHEwWa8LEKRsyH
Coeur d'Alene	The Head And The Heart	iTunes Session	spotify:track:3anBoaDfhw5icpXNlTyIG2
Down in the Valley	The Head And The Heart	iTunes Session	spotify:track:2sQeQtbAGNFjNBS3QhbPiY
Chasing a Ghost	The Head And The Heart	iTunes Session	spotify:track:0dLC5m7XlOy3TWgAvbBP7L
SLIDE	Vince Staples	RAMONA PARK BROKE MY HEART	spotify:track:51AP51OFGujGTmBoS7Pf14
PAPERCUTS	Vince Staples	RAMONA PARK BROKE MY HEART	spotify:track:1yfymqHHUZeDisKm7L2X2d
LEMONADE	Vince Staples, Ty Dolla $ign	RAMONA PARK BROKE MY HEART	spotify:track:5Z3mR4zAX4K3krt4JAOpmx
PLAYER WAYS	Vince Staples	RAMONA PARK BROKE MY HEART	spotify:track:62HtcRFFjVch2X1B42K662
MAMA'S BOY	Vince Staples	RAMONA PARK BROKE MY HEART	spotify:track:5lE3SPNr6F0iLUwVWnryAA
Heaven Takes You Home (feat. Connie Constance)	Swedish House Mafia, Connie Constance	Paradise Again	spotify:track:3nEHrvNNtgLv9rneTAYVr4
BANG THAT	Vince Staples, Mustard	RAMONA PARK BROKE MY HEART	spotify:track:6rvcCG85l39CbaI6v5wlWa
THE SPIRIT OF MONSTER KODY	Vince Staples	RAMONA PARK BROKE MY HEART	spotify:track:1JHKRUy261mWgDVGJfkNgT
Pour It Down	Showtek, VÉRITÉ	Pour It Down	spotify:track:4Z5Y2jirTP3oPF3rWe5ivA
Pour It Down - Holseek Remix	Showtek, VÉRITÉ, Holseek	Pour It Down (The Remixes)	spotify:track:5QSsvYwd8txajuTOfg1blm
Just A Feeling - Eden Prince Remix	Phantoms, VÉRITÉ, Eden Prince	Just A Feeling (Eden Prince Remix)	spotify:track:0mhJUThlvhByC4mZm59ewi
Just A Feeling - Love Thy Brother Remix	Phantoms, VÉRITÉ, Love Thy Brother	Just A Feeling (Love Thy Brother Remix)	spotify:track:4DfmXFpGhYZywpdK0CQ09j
I'll Be Your Friend - Piano Solo	Joshua Radin, Jonathan Wilson	I'll Be Your Friend (Piano Solo)	spotify:track:0HVpE6nZQQUu51PNpmWcy4
You Don't Know About Me - The ACLU Remix	Ella Vos, Icona Pop, VÉRITÉ, Mija	You Don't Know About Me (The ACLU Remix)	spotify:track:62enxNyS0Iszc347BK3p1s
LAUGH IT OFF	Pussy Riot, VÉRITÉ, LATASHÁ	LAUGH IT OFF	spotify:track:42A9zSMnlGzbKFKTPeUrGd
Heartbeat	VÉRITÉ	Echo	spotify:track:7BKyyhtqhAqulYZBmI2KL6
Strange Enough - Carousel Remix	VÉRITÉ, Carousel	Echo (The Remixes)	spotify:track:6piFqNygojAtAJr4KKo8Lp
ocean	VÉRITÉ	new skin	spotify:track:02me87R1Ss2iofsXJ59JJo
youth	VÉRITÉ	new skin	spotify:track:0GhycuSG5jvVAkF1JeRj0R
Sentiment	VÉRITÉ	Sentiment EP	spotify:track:2eSYREqMvPetK2g7S4CESB
medicine	VÉRITÉ	new skin	spotify:track:3T0ot81KLOo3TkLdvxOvbQ
gone	VÉRITÉ	new skin	spotify:track:3GUbNKdTVlN201ZaSeVWTI
Gesture	VÉRITÉ	Living	spotify:track:7nJKN3ymppipYvAJQs9ec4
Miss America	Carolina Liar	Wild Blessed Freedom	spotify:track:6M5HdThbdHVMoWJugIDB75
Heartbeat - Lightwaves Remix	VÉRITÉ, Lightwaves	Echo (The Remixes)	spotify:track:6uXDnmW3NZICNIjU6UbJaq
Say No	Chantal	Say No	spotify:track:78y7se0R6Yi74a9HwUi4IE
