Other Songs I Know	Artists	ID	ExCol
Troublemaker (feat. Flo Rida)	Olly Murs, Flo Rida	Right Place Right Time (Deluxe)	spotify:track:0gRczqVHrEQQDyizJUtgRc
Dance with Me Tonight	Olly Murs	Right Place Right Time (Deluxe)	spotify:track:6Rxnq6T6b89rgQaDmzBF0l
Wasted	Tiësto, Matthew Koma	A Town Called Paradise	spotify:track:2CAK2t1reUgPK6OMgAMURB
Bangarang (feat. Sirah)	Skrillex, Sirah	Bangarang EP	spotify:track:6VRhkROS2SZHGlp0pxndbJ
Professional Griefers - Vocal Mix	deadmau5, Gerard Way	> album title goes here <	spotify:track:2sQwrhVWXpZHPIF6YQbUvT
Get Low	Lil Jon & The East Side Boyz, Ying Yang Twins	Kings Of Crunk	spotify:track:0r2Bul2NuCViraT2zX1l5j
Shot Me Down (feat. Skylar Grey) - Radio Edit	David Guetta	Listen (Deluxe)	spotify:track:5aifFsWwt3u1swUe8pC4lf
I Luh Ya Papi	Jennifer Lopez, French Montana	A.K.A. (Deluxe)	spotify:track:0fjqx2nfpWXdbrbnxDDgPT
A Sky Full of Stars - Robin Schulz Edit	Coldplay, Robin Schulz	Prayer	spotify:track:3N0CmIrt0vWlQv6cBblSex
Sledgehammer	Fifth Harmony	Sledgehammer	spotify:track:0QvdM0mzQpphLZVCqVGGjC
Out of My Mind (feat. Nicki Minaj)	B.o.B, Nicki Minaj	Strange Clouds	spotify:track:2TJ5ei0GrErhEdAwWITbgd
#Twerkit	Busta Rhymes, Nicki Minaj	#TWERKIT	spotify:track:2DM9JVZY1Kl2bvxWE2ifqE
BedRock	Young Money, Lloyd	We Are Young Money	spotify:track:3iL2l5gUqyPS6vDwJFgJTR
Heartbreaker	Justin Bieber	Journals	spotify:track:21pCToQdqcPi879auxjxKe
Pu$$y (feat. Billy Blue)	Lupe Fiasco, Billy Blue	Pu$$y (feat. Billy Blue)	spotify:track:0Zqh4IgECg4EZeiMsZpCxz
Cinderella Man	Eminem	Recovery	spotify:track:4SE4yewyGpOYfxfx59Yjc5
Booty	Jennifer Lopez, Iggy Azalea	Booty	spotify:track:6dshconh2KBbGxVh7GtSTC
Work Bitch	Britney Spears	Britney Jean (Deluxe Version)	spotify:track:3KliPMvk1EvFZu9cvkj8p1
Partition	Beyoncé	Partition	spotify:track:2vPTtiR7x7T6Lr17CE2FAE
Ima Boss (feat. Rick Ross)	Meek Mill, Rick Ross	MMG Presents: Self Made, Vol. 1	spotify:track:7sjwaBQ6M3aVigYfBjm1sL
Shots	Lil Jon, LMFAO	Crunk Rock (Deluxe)	spotify:track:7cWNahjynBEP4wuXXhU0m6
Lookin Ass	Young Money, Nicki Minaj	Rise Of An Empire (Deluxe Edition)	spotify:track:4aoTZHeWFCbquvIBhAUZlL
Levels - Radio Edit	Avicii	Levels	spotify:track:5QjJgPU8AJeickx34f7on6
Rather Be (feat. Jess Glynne) - Robin Schulz Edit [Robin Schulz Edit]	Clean Bandit, Jess Glynne	Prayer	spotify:track:2XQKBjk8k5EVK7Iiyeu6iI
Body Party	Ciara	Ciara	spotify:track:0rFZaQ4crlGAzuCjWCQ2xu
Amityville	Eminem, Bizarre	The Marshall Mathers LP	spotify:track:0erTM8A9ro5kzcNc962jHd
Ass Like That	Eminem	Encore (Deluxe Version)	spotify:track:4gXdMZkBN1neE9nX6yRALa
Stay Wide Awake	Eminem	Relapse	spotify:track:1cpGp4Ow7HaiNfsnDaHcmU
Medicine Ball	Eminem	Relapse	spotify:track:2s1nxW4nd7N8bS946VwRaG
Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix	Ty Dolla $ign, The Weeknd, Wiz Khalifa, Mustard	Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) [Remix]	spotify:track:7t2bFihaDvhIrd2gn2CWJO
All Me	Drake, 2 Chainz, Big Sean	Nothing Was The Same (Deluxe)	spotify:track:4kNvYhyl8R6m1vykVkcuBu
A Kiss	Bad Meets Evil	Hell: The Sequel (Deluxe)	spotify:track:4eing5jncX5PU3Wtf8ssBc
Love More	Chris Brown, Nicki Minaj	Love More	spotify:track:5xGIqIiGr1do6RRpIviwGG
Your Love	Nicki Minaj	Pink Friday (Deluxe)	spotify:track:3bGxiCPouq52ZtI8ybMCX5
Groove	Jack & Jack	Groove	spotify:track:05Sr3aEq5SEbhfrUIPGgMv
We As Americans	Eminem	Encore (Deluxe Version)	spotify:track:6BdYOvKVbLsNFg674QJbRF
Booty Wurk (One Cheek At a Time) (feat. Joey Galaxy)	T-Pain, Joey Galaxy	Booty Wurk (One Cheek At a Time) (feat. Joey Galaxy)	spotify:track:4gdx3sBwgfZTZAqxKzQVTA
Loyal	Chris Brown, Lil Wayne, Tyga	X (Deluxe Version)	spotify:track:7kqcudBGM74MXVoYMaoWkC
Ain't Worried About Nothin	French Montana	Excuse My French (Deluxe)	spotify:track:0UAmPUdpTRq8w54B3H8TzY
Carrera Lu	Lupe Fiasco	Lupe Fiasco's Food & Liquor (5th Anniversary Edition; Deluxe Edition)	spotify:track:2QNa5iue3oad4ZJcmGrWIg
Love Bullets	will.i.am, Skylar Grey	#willpower (Deluxe)	spotify:track:5LGwefH4dIDRqamJAMRutE
Touchdown - feat. Eminem	T.I.	T.I. vs. T.I.P.	spotify:track:04jIRKpetGsmsVn8mJtQ6Q
Left Hand Free	alt-J	This Is All Yours	spotify:track:4iEOVEULZRvmzYSZY2ViKN
Dance (A$$) Remix	Big Sean, Nicki Minaj	Dance (A$$) Remix	spotify:track:3OVLPcUPS0HbMeAeMP0jZ4
I Don't Want to Be	Gavin DeGraw	Chariot - Stripped	spotify:track:6ich2xMH5AR39V85miIAN8
She Keeps Me Warm	Mary Lambert	Welcome To The Age Of My Body	spotify:track:4Yb6G9OWgGBmfOpxcFxp6P
Temperature	Sean Paul	The Trinity	spotify:track:0k2GOhqsrxDTAbFFSdNJjT
Stoner	Young Thug	Stoner	spotify:track:1jROHCeEzDr6VnV8EnBnik
#SELFIE	The Chainsmokers	#SELFIE	spotify:track:1HOlb9rdNOmy9b1Fakicjo
Bang My Head (feat. Sia)	David Guetta	Listen (Deluxe)	spotify:track:6z7HKLe33Nxca2w3WmXBoK
