Rank,Rating,Artist,Number of Songs,Number of Songs Disliked,Number of Songs Unheard,Number of Songs Undecided,Number of Songs Loved,Songs In Queue,Total Songs Reviewed,Remaining Importance,Unheard Importance,Inflation Factor,Lowest Possible Rating,Highest Possible Rating,Lowest Queue Rating,Highest Queue Rating,Highest Possible Ranking,Lowest Possible Ranking,Highest Queue Ranking,Lowest Queue Ranking,Highest Immediate Ranking,Lowest Immediate Ranking,Possible Rankings,Possible Queue Rankings,Possible Immediate Rankings,Range,Queue Range,League,Test Rating
29,68.64,Brantley Gilbert,76,12,0,3,3,3.0,88,205,0,0.03,66.47,71.58,66.47,71.58,25,94,25,46,28,30,70,22,3,5.11,5.11,EFL Championship,34.02
30,65.24,Lana Del Rey,92,44,0,17,3,17.0,136,1109,0,0.12,58.32,80.65,58.32,80.65,22,112,22,50,25,36,91,29,12,22.33,22.33,EFL Championship,6.11
31,63.48,Joey Bada$$,88,34,0,35,0,35.0,122,2221,0,0.29,49.32,96.36,49.32,96.36,14,165,14,54,16,42,152,41,27,47.04,47.04,EFL Championship,6.69
32,63.04,Luke Bryan,87,37,0,15,2,15.0,124,945,0,0.12,56.45,76.85,56.45,76.85,24,118,24,50,26,36,95,27,11,20.4,20.4,EFL Championship,6.86
33,60.03,blackbear,98,62,0,55,0,55.0,160,3301,0,0.34,44.67,108.88,44.67,108.88,5,241,5,57,9,45,237,53,37,64.21,64.21,EFL Championship,2.05
34,59.68,The Head And The Heart,65,7,0,27,1,27.0,72,1611,0,0.38,43.68,86.49,43.68,86.49,21,253,21,57,22,46,233,37,25,42.81,42.81,EFL Championship,33.15
35,58.7,Lorde,60,11,0,0,8,0.0,71,0,0,0.0,58.7,58.7,58.7,58.7,30,109,30,50,35,35,80,21,1,0.0,0.0,EFL Championship,50.51
36,56.0,Kacey Musgraves,72,24,0,14,2,14.0,96,784,0,0.15,49.13,69.24,49.13,69.24,26,166,26,54,29,42,141,29,14,20.11,20.11,EFL Championship,9.92
37,56.0,Nothing But Thieves,55,0,0,9,1,9.0,55,504,0,0.16,48.27,65.0,48.27,65.0,29,176,29,55,31,42,148,27,12,16.73,16.73,EFL Championship,63.4
38,54.67,J. Cole,82,41,0,25,0,25.0,123,1366,0,0.2,45.43,77.36,45.43,77.36,23,224,23,57,26,45,202,35,20,31.93,31.93,EFL Championship,3.35
39,54.39,NF,62,10,0,13,1,13.0,72,707,0,0.18,46.22,67.18,46.22,67.18,26,212,26,56,30,45,187,31,16,20.96,20.96,EFL Championship,22.07
40,54.05,Alessia Cara,84,49,0,17,1,17.0,133,918,0,0.13,48.04,69.01,48.04,69.01,26,180,26,55,29,42,155,30,14,20.97,20.97,EFL Championship,2.6
41,50.83,Jon Bellion,61,22,0,22,6,22.0,83,1118,0,0.27,41.44,71.61,41.44,71.61,25,280,25,60,28,48,256,36,21,30.17,30.17,EFL Championship,14.48
42,48.0,Handsome Ghost,45,0,0,1,3,1.0,45,48,0,0.02,47.02,49.0,47.02,49.0,35,200,35,56,42,45,166,22,4,1.98,1.98,EFL Championship,74.86
43,47.79,Kanye West,104,143,0,16,4,16.0,247,764,0,0.06,45.13,58.75,45.13,58.75,30,226,30,57,35,45,197,28,11,13.62,13.62,EFL Championship,0.23
44,47.45,Sam Hunt,51,5,0,0,1,0.0,56,0,0,0.0,47.45,47.45,47.45,47.45,37,196,37,56,44,44,160,20,1,0.0,0.0,EFL Championship,28.85
45,44.06,"Royce Da 5'9""",99,134,98,151,2,53.0,233,6653,4317,0.65,27.52,164.76,36.27,82.78,3,340,21,61,3,69,338,41,67,137.24,46.51,EFL League One,0.17
