Rank,Rating,Artist,Number of Songs,Number of Songs Disliked,Number of Songs Unheard,Number of Songs Undecided,Number of Songs Loved,Songs In Queue,Total Songs Reviewed,Remaining Importance,Unheard Importance,Inflation Factor,Lowest Possible Rating,Highest Possible Rating,Lowest Queue Rating,Highest Queue Rating,Highest Possible Ranking,Lowest Possible Ranking,Highest Queue Ranking,Lowest Queue Ranking,Highest Immediate Ranking,Lowest Immediate Ranking,Possible Rankings,Possible Queue Rankings,Possible Immediate Rankings,Range,Queue Range,League,Test Rating
T2126,0.0,Runaway June,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Runaway Weekend,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Rune RK,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Runn,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Running Touch,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Runnner,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Runrummer,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Runway Richy,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Rush,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Rush Davis,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Rush Sturges,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Rusherking,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Rusko,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Ruslan,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Russ Macklin,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Ruste Juxx,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Rustin Man,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Rusty Clanton,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Rusty Egan,0,0,3,3,0,0.0,0,0,0,3.0,-3.0,3.0,-0.0,0.0,240,15336,2126,2728,404,15268,15097,603,14865,6.0,0.0,None,
T2126,0.0,RuthAnne,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Ruthless,0,0,4,4,0,0.0,0,0,0,4.0,-4.0,4.0,-0.0,0.0,184,15337,2126,2728,338,15312,15154,603,14975,8.0,0.0,None,
T2126,0.0,Rvssian,0,0,11,11,0,0.0,0,0,0,11.0,-11.0,11.0,-0.0,0.0,84,15337,2126,2728,159,15336,15254,603,15178,22.0,0.0,None,
T2126,0.0,Rxseboy,0,0,8,8,0,0.0,0,0,0,8.0,-8.0,8.0,-0.0,0.0,110,15337,2126,2728,199,15335,15228,603,15137,16.0,0.0,None,
T2126,0.0,Ry SO Valid,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Ry-Lo,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Ryan Beatty,0,0,11,11,0,0.0,0,0,0,11.0,-11.0,11.0,-0.0,0.0,84,15337,2126,2728,159,15336,15254,603,15178,22.0,0.0,None,
T2126,0.0,Ryan Bradley,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Ryan Cabrera,0,0,1,2,0,1.0,0,0,0,2.0,-2.0,2.0,-1.0,1.0,295,15333,802,14008,526,15122,15039,13207,14597,4.0,2.0,None,
T2126,0.0,Ryan Ellis,0,0,4,4,0,0.0,0,0,0,4.0,-4.0,4.0,-0.0,0.0,184,15337,2126,2728,338,15312,15154,603,14975,8.0,0.0,None,
T2126,0.0,Ryan Follese,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Ryan Hall,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Ryan Hemsworth,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Ryan Hurd,0,0,9,9,0,0.0,0,0,0,9.0,-9.0,9.0,-0.0,0.0,100,15337,2126,2728,185,15335,15238,603,15151,18.0,0.0,None,
T2126,0.0,Ryan Keen,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Ryan Kinder,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Ryan Lerman,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Ryan McMullan,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Ryan Nichols,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Ryan O'Shaughnessy,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Ryan Oakes,0,0,3,3,0,0.0,0,0,0,3.0,-3.0,3.0,-0.0,0.0,240,15336,2126,2728,404,15268,15097,603,14865,6.0,0.0,None,
T2126,0.0,Ryan Star,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Ryan Steffes,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Ryan Trey,0,0,4,4,0,0.0,0,0,0,4.0,-4.0,4.0,-0.0,0.0,184,15337,2126,2728,338,15312,15154,603,14975,8.0,0.0,None,
T2126,0.0,Ryan Woods,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Ryann,0,0,5,5,0,0.0,0,0,0,5.0,-5.0,5.0,-0.0,0.0,148,15337,2126,2728,287,15324,15190,603,15038,10.0,0.0,None,
T2126,0.0,Rye Rye,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Ryland James,0,0,4,4,0,0.0,0,0,0,4.0,-4.0,4.0,-0.0,0.0,184,15337,2126,2728,338,15312,15154,603,14975,8.0,0.0,None,
T2126,0.0,Rylo Rodriguez,0,0,3,3,0,0.0,0,0,0,3.0,-3.0,3.0,-0.0,0.0,240,15336,2126,2728,404,15268,15097,603,14865,6.0,0.0,None,
T2126,0.0,Rymez,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Rynn,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Rynx,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Ryokuoushoku Shakai,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Ryon's World,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Ryu,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Ryu Matsuyama,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,RØRY,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,RÜDE CÅT,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,RÜFÜS DU SOL,0,0,8,8,0,0.0,0,0,0,8.0,-8.0,8.0,-0.0,0.0,110,15337,2126,2728,199,15335,15228,603,15137,16.0,0.0,None,
T2126,0.0,Rén with the Mane,0,0,2,3,0,1.0,0,0,0,3.0,-3.0,3.0,-1.0,1.0,240,15336,802,14008,404,15268,15097,13207,14865,6.0,2.0,None,
T2126,0.0,Rêve,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Röyksopp,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Rāms,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,RⱯHM ⚉,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,S. Grant Parker,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,S. Raekwon,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,S.A.S.,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,S.E.A,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,S.P.Y,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,S1mba,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,SAARA,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,SACHI,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,SAFE,0,0,5,5,0,0.0,0,0,0,5.0,-5.0,5.0,-0.0,0.0,148,15337,2126,2728,287,15324,15190,603,15038,10.0,0.0,None,
T2126,0.0,SAFIA,0,0,3,3,0,0.0,0,0,0,3.0,-3.0,3.0,-0.0,0.0,240,15336,2126,2728,404,15268,15097,603,14865,6.0,0.0,None,
T2126,0.0,SAIAH,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,SAINT WKND,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,SAINTE,0,0,4,4,0,0.0,0,0,0,4.0,-4.0,4.0,-0.0,0.0,184,15337,2126,2728,338,15312,15154,603,14975,8.0,0.0,None,
T2126,0.0,SAINTS OF VALORY,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,SAK PASE,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,SALES,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,SAM LEX,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,SANNI,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,SASAMI,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,SATICA,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,SBTRKT,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,SCH,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,SEB,0,0,5,5,0,0.0,0,0,0,5.0,-5.0,5.0,-0.0,0.0,148,15337,2126,2728,287,15324,15190,603,15038,10.0,0.0,None,
T2126,0.0,SEBASTIAN PAUL,0,0,4,4,0,0.0,0,0,0,4.0,-4.0,4.0,-0.0,0.0,184,15337,2126,2728,338,15312,15154,603,14975,8.0,0.0,None,
T2126,0.0,SEBii,0,0,3,3,0,0.0,0,0,0,3.0,-3.0,3.0,-0.0,0.0,240,15336,2126,2728,404,15268,15097,603,14865,6.0,0.0,None,
T2126,0.0,SERA,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,SEU Worship,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,SEVENTEEN,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,SG Tip,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,SGE Kash,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,SHAED,0,0,9,9,0,0.0,0,0,0,9.0,-9.0,9.0,-0.0,0.0,100,15337,2126,2728,185,15335,15238,603,15151,18.0,0.0,None,
T2126,0.0,SHE'S,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,SHEARE,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,SHORE,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,SHOTTY HORROH,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,SHS Marching Band,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,SHY FX,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,SHY Martin,0,0,15,15,0,0.0,0,0,0,15.0,-15.0,15.0,-0.0,0.0,62,15337,2126,2728,119,15337,15276,603,15219,30.0,0.0,None,
T2126,0.0,SIDEPIECE,0,0,4,4,0,0.0,0,0,0,4.0,-4.0,4.0,-0.0,0.0,184,15337,2126,2728,338,15312,15154,603,14975,8.0,0.0,None,
T2126,0.0,SISTERS,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,SISTERWIFE,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,SIX60,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,SK8,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,SKAAR,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,SKIES,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,SKOLES,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,SKYES,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,SKYXXX,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,SLANG,0,0,4,4,0,0.0,0,0,0,4.0,-4.0,4.0,-0.0,0.0,184,15337,2126,2728,338,15312,15154,603,14975,8.0,0.0,None,
T2126,0.0,SLO,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,SLOE JACK,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,SLUMBERJACK,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,SMASH Cast,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,SMBDY,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,SNF.JT,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,SNSTBLVD,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,SOB X RBE,0,0,10,10,0,0.0,0,0,0,10.0,-10.0,10.0,-0.0,0.0,93,15337,2126,2728,172,15336,15245,603,15165,20.0,0.0,None,
T2126,0.0,SOFIA,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,SONDAR,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,SONIA,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,SOPHIE,0,0,4,4,0,0.0,0,0,0,4.0,-4.0,4.0,-0.0,0.0,184,15337,2126,2728,338,15312,15154,603,14975,8.0,0.0,None,
T2126,0.0,SOUNDR,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,SPiCYSOL,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,SRC,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,SRNO,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,SSGKobe,0,0,4,4,0,0.0,0,0,0,4.0,-4.0,4.0,-0.0,0.0,184,15337,2126,2728,338,15312,15154,603,14975,8.0,0.0,None,
T2126,0.0,SSTEDI,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,SSxOG,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,ST. NIKLAS,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,STACE,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,STALONE,0,0,0,1,0,1.0,0,0,0,1.0,-1.0,1.0,-1.0,1.0,479,14633,802,14008,830,13904,14155,13207,13075,2.0,2.0,None,
T2126,0.0,STATIK KXNG,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,STORi,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,STRFKR,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,SUD,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,SUGIURUMN,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,SUGR?,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,SUMR CAMP,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,SUNDRONES,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,SUNMI,0,0,0,1,0,1.0,0,0,0,1.0,-1.0,1.0,-1.0,1.0,479,14633,802,14008,830,13904,14155,13207,13075,2.0,2.0,None,
T2126,0.0,SUUNS,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,SVRCINA,0,0,6,6,0,0.0,0,0,0,6.0,-6.0,6.0,-0.0,0.0,133,15337,2126,2728,260,15331,15205,603,15072,12.0,0.0,None,
T2126,0.0,SWELLS,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,SWMRS,0,0,4,4,0,0.0,0,0,0,4.0,-4.0,4.0,-0.0,0.0,184,15337,2126,2728,338,15312,15154,603,14975,8.0,0.0,None,
T2126,0.0,SWV,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,SYLVE,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
