Artist,Number of Songs,Rank
YoungBoy Never Broke Again,3,T450
Zella Day,3,T450
fun.,3,T450
girl in red,3,T450
lovelytheband,3,T450
mansionz,3,T450
24hrs,2,T570
24kGoldn,2,T570
2Pac,2,T570
3LAU,2,T570
6ix9ine,2,T570
A Day To Remember,2,T570
A$AP Mob,2,T570
ARTY,2,T570
Above & Beyond,2,T570
Afrojack,2,T570
Alan Walker,2,T570
Alex Mali,2,T570
Alicia Keys,2,T570
Andrew McMahon in the Wilderness,2,T570
Aquilo,2,T570
Arctic Monkeys,2,T570
Armors,2,T570
Ashley Sorrell,2,T570
Austin Mahone,2,T570
Ava Max,2,T570
Axwell,2,T570
Axwell /\ Ingrosso,2,T570
BANKS,2,T570
BIA,2,T570
BROODS,2,T570
BUNT.,2,T570
Bad Bunny,2,T570
Bad Suns,2,T570
Beatenberg,2,T570
Big Boi,2,T570
Big Gigantic,2,T570
Big Lenbo,2,T570
Billy Blue,2,T570
Billy Ray Cyrus,2,T570
Birdman,2,T570
Bishop Briggs,2,T570
Bleachers,2,T570
Blonde,2,T570
Blxst,2,T570
Bon Jovi,2,T570
Boy & Bear,2,T570
Brandy,2,T570
Brendon Urie,2,T570
Bring Me The Horizon,2,T570
Britt Nicole,2,T570
Broiler,2,T570
Bubba Sparxxx,2,T570
Buddy,2,T570
Bun B,2,T570
CHIKA,2,T570
COIN,2,T570
Cedric Gervais,2,T570
Charlotte OC,2,T570
Chelsea Cutler,2,T570
Chelsea Lankes,2,T570
Chris Martin,2,T570
Chris Young,2,T570
Christina Aguilera,2,T570
Christina Grimmie,2,T570
Consequence,2,T570
Crystal Torres,2,T570
DJ Snake,2,T570
DREAMERS,2,T570
Daft Punk,2,T570
Dagny,2,T570
Dan + Shay,2,T570
Daniel Powter,2,T570
Danny L Harle,2,T570
Delta Rae,2,T570
Descemer Bueno,2,T570
Desiigner,2,T570
Diddy,2,T570
Dido,2,T570
Dixie,2,T570
Domo Genesis,2,T570
Don Toliver,2,T570
Dustin Kensrue,2,T570
Dwele,2,T570
EDEN,2,T570
Eagles,2,T570
Ella Eyre,2,T570
Eluvium,2,T570
Emeli Sandé,2,T570
Emile Haynie,2,T570
Empress Of,2,T570
Fat Joe,2,T570
