Songs I Love	Artists	URI
The Nights	Avicii	The Days / Nights	spotify:track:0ct6r3EGTcMLPtrXHDvVjc
Graveyard Whistling	Nothing But Thieves	Graveyard Whistling - EP	spotify:track:3H0RNo34qa7mXkJMyl4y88
You And Me	Lifehouse	Lifehouse	spotify:track:7L605WhF5EGf34ggj87yK6
Bloodstream	Ed Sheeran	x (Deluxe Edition)	spotify:track:5v4sZRuvWDcisoOk1PFv6T
Legacy	Eminem	The Marshall Mathers LP2 (Deluxe)	spotify:track:1mavQ4WCzXSeL2Dm5DS4GQ
White Dress	Ben Rector	Into the Morning	spotify:track:464W82gBeqIpmKrVFVFHDd
When A Heart Breaks	Ben Rector	Into the Morning	spotify:track:3YepPgEDVEXccOBcLHDZ3v
Beautiful	Ben Rector	The Walking in Between	spotify:track:69fUU58Xu9Lk5Bsd3aQBcE
Doubt	Twenty One Pilots	Blurryface	spotify:track:57yL3161hUMuw06zzzUCHi
Riser	Dierks Bentley	RISER	spotify:track:0HccAcPMNevr8ERJCWlFk3
Start of Something Good	Daughtry	Break The Spell (Deluxe Version)	spotify:track:0dEI6hv2ovN18wcYC3Wygi
Lost In Stereo	All Time Low	Nothing Personal (Deluxe Version)	spotify:track:3y3p0SdofrcavUCKhA5poS
Adventure of a Lifetime	Coldplay	A Head Full of Dreams	spotify:track:69uxyAqqPIsUyTO8txoP2M
It Is What It Is	Lifehouse	Smoke & Mirrors (Deluxe)	spotify:track:26thy6jviwfdVaPLAKVu2B
Laura Palmer	Bastille	Laura Palmer	spotify:track:5N7CaBng9A9XCIbWNsFtZT
Remember the Name (feat. Styles of Beyond)	Fort Minor, Styles Of Beyond	The Rising Tied	spotify:track:6ljbkNIzfmFrGyYUTUAleN
Better Than That	MARINA	Froot	spotify:track:2UvO88i50M3SzJvtRWmDed
Kids	MGMT	Oracular Spectacular	spotify:track:1jJci4qxiYcOHhQR247rEU
End of all Time	Stars of Track and Field	A Time for Lions	spotify:track:5YCn4Mgrljd1oxMHLz5ZwR
Runnin' (Lose It All)	Naughty Boy, Beyoncé, Arrow Benjamin	Runnin' (Lose It All)	spotify:track:5yZvaUVyuXfSVUaMumFi6l
Runnin'	Machine Gun Kelly, Planet Vi	Lace Up (Deluxe)	spotify:track:0lgVoUJ2uVH9dwCFPJ3VI6
God (feat. John Legend)	Scarface, John Legend	Deeply Rooted	spotify:track:5DmGr4kMnpQzSwdWVgnIXu
Adore	Jasmine Thompson	Adore	spotify:track:0q3xdwnXoHgHsc32CxpTG4
Something 'Bout Love	David Archuleta	The Other Side of Down	spotify:track:25pU0SsW1StdsEQbsFC7qP
First	Cold War Kids	Hold My Home	spotify:track:0aGSUNleFqs5HNEJcwqvXJ
Backseat Serenade - Live From Spotify UK	All Time Low	Spotify Sessions	spotify:track:4WTMZu7JLGEfZZqgeiCu6c
Holding on to You	Twenty One Pilots	Vessel	spotify:track:3C3cr2JQwXIhqAHqOardVO
Heaven Forbid	The Fray	How To Save A Life	spotify:track:2x8aFYMNPezraBxfjxnQEP
Like The World Is Going To End	Ben Rector	Brand New	spotify:track:3Rx2TyzPHp8FMcwGpmaADS
Pursuit Of Happiness (Nightmare)	Kid Cudi, MGMT, Ratatat	Man On The Moon: The End Of Day (Deluxe)	spotify:track:6MtKObWYda2qnNIpJI21uD
Heartbeat	The Fray	Scars & Stories	spotify:track:2atYprr9JsQaLynGhrWhld
We Don't Believe What's on TV	Twenty One Pilots	Blurryface	spotify:track:22OqansuvEMQu9W0EfiGTI
No Tears	James Blunt	Some Kind of Trouble	spotify:track:4hQp5DyfZlCPXj0tZ1IgmL
Celeste	Ezra Vine	Celeste EP	spotify:track:23cj0rlc0UtTBaCg60VCkm
Mechanical Heart	Jon D	Alone Together	spotify:track:6sYTp01Ks4lVytk2XXndTI
Fire and the Flood	Vance Joy	Dream Your Life Away (Special Edition)	spotify:track:6liNJDyWJjyHAgDnAX95bw
Say (All I Need)	OneRepublic	Dreaming Out Loud	spotify:track:6H4vq5gz0rlNjH0LBzu4An
Mercy	OneRepublic	Dreaming Out Loud	spotify:track:13UwDYcdDOT6akJZRGVCEy
Broken	Lifehouse	Who We Are	spotify:track:5f6cTFoUenDiCJDGecYiuB
Rootless	MARINA	The Family Jewels (Deluxe)	spotify:track:7eicEMj4PFpo4uJr7FlMHZ
Over	Drake	Thank Me Later	spotify:track:6BdgtqiV3oXNqBikezwdvC
Love Don't Die	The Fray	Helios	spotify:track:6IDDwI0YOCAUDhMZltQekS
Before You Start Your Day	Twenty One Pilots	Twenty One Pilots	spotify:track:4izhmF4sQgGemZpLC68bC5
More Than Miles	Brantley Gilbert	Halfway To Heaven (Deluxe Edition)	spotify:track:28ov70yrukmJDAFtiThdTS
Woke The F*ck Up - Acoustic	Jon Bellion	Woke The F*ck Up (Acoustic)	spotify:track:7ocpW0qgXkvsc2OhKCDc0q
The City	The Game, Kendrick Lamar	The R.E.D. Album	spotify:track:6m49tZii9UUttOgDozxjI1
Raging (feat. Kodaline)	Kygo, Kodaline	Raging (feat. Kodaline)	spotify:track:6DsFZITJMPnh8z5XewfVmL
Listen (feat. John Legend)	David Guetta	Listen Again	spotify:track:0tYszKcoxeQqH5JGbgWVjm
One Call Away	Charlie Puth	One Call Away	spotify:track:2uEJanMvnA1dXgX1ASnPQm
Talk	Kodaline	In A Perfect World	spotify:track:16Lt4xHuWNaMX9JNzEpq9n
Tompkins Square Park	Mumford & Sons	Wilder Mind (Deluxe)	spotify:track:06W19SYNeONXCtnATuIIt0
You Don't Know Her Like I Do	Brantley Gilbert	Halfway To Heaven (Deluxe Edition)	spotify:track:4WnY4W5KrqglCdIus8X9Bo
Amerika	Young the Giant	Amerika	spotify:track:4Z9MTyi3hsR9GzU7egzgcS
Monster	Imagine Dragons	Monster	spotify:track:15U1oYrykViB8l4xywoy2Y
A Car, A Torch, A Death	Twenty One Pilots	Twenty One Pilots	spotify:track:5zTX7MeCrTX5ZBFSqJS7XZ
Something I Need	OneRepublic	Native	spotify:track:4KANJH1baadr3U7XsVbM17
We Won't Sleep	Handsome Ghost	Steps	spotify:track:5D7L0HYjQC9Zu9xjJCUfrY
